DatasetID,Variable Name,Data Type,Value
BB_505_ADCP,CurrVel_QC,['byte'],[nan]
BB_505_ADCP,ECHO_QC,['byte'],[nan]
BB_505_ADCP,ECI_B1,['float'],[nan]
BB_505_ADCP,ECI_B2,['float'],[nan]
BB_505_ADCP,ECI_B3,['float'],[nan]
BB_505_ADCP,ECI_B4,['float'],[nan]
BB_505_ADCP,TEMP,['float'],[nan]
BB_505_ADCP,TEMP_QC,['byte'],[nan]
BB_505_ADCP,UVEL_ADCP,['float'],[nan]
BB_505_ADCP,VVEL_ADCP,['float'],[nan]
BB_505_ADCP,WVEL_ADCP,['float'],[nan]
BB_505_ADCP,depth,['float'],[nan]
BB_505_ADCP,latitude,['float'],[nan]
BB_505_ADCP,longitude,['float'],[nan]
BB_505_ADCP,station_id,['String'],[nan]
BB_505_ADCP,time,['double'],[nan]
BB_567_SBE56,TEMP,['float'],[nan]
BB_567_SBE56,TEMP_QC,['byte'],[nan]
BB_567_SBE56,depth,['float'],[nan]
BB_567_SBE56,latitude,['float'],[nan]
BB_567_SBE56,longitude,['float'],[nan]
BB_567_SBE56,station_id,['String'],[nan]
BB_567_SBE56,time,['double'],[nan]
BB_584_SBE56,TEMP,['double'],[nan]
BB_584_SBE56,TEMP_QC,['byte'],[nan]
BB_584_SBE56,depth,['double'],[nan]
BB_584_SBE56,latitude,['double'],[nan]
BB_584_SBE56,longitude,['double'],[nan]
BB_584_SBE56,station_id,['String'],[nan]
BB_584_SBE56,time,['double'],[nan]
BB_591_SBE56,TEMP,['double'],[nan]
BB_591_SBE56,TEMP_QC,['byte'],[nan]
BB_591_SBE56,depth,['double'],[nan]
BB_591_SBE56,latitude,['double'],[nan]
BB_591_SBE56,longitude,['double'],[nan]
BB_591_SBE56,station_id,['String'],[nan]
BB_591_SBE56,time,['double'],[nan]
BB_595_CTD,AHGT,['float'],[nan]
BB_595_CTD,DOXY,['float'],[nan]
BB_595_CTD,DOXY_QC,['byte'],[nan]
BB_595_CTD,PSAL,['float'],[nan]
BB_595_CTD,PSAL_QC,['byte'],[nan]
BB_595_CTD,PTEMP_QC,['byte'],[nan]
BB_595_CTD,SIGT,['float'],[nan]
BB_595_CTD,SIGT_QC,['byte'],[nan]
BB_595_CTD,TEMP,['float'],[nan]
BB_595_CTD,TEMP_QC,['byte'],[nan]
BB_595_CTD,TSED,['float'],[nan]
BB_595_CTD,TURB_QC,['byte'],[nan]
BB_595_CTD,Temperature,['float'],[nan]
BB_595_CTD,depth,['float'],[nan]
BB_595_CTD,latitude,['float'],[nan]
BB_595_CTD,longitude,['float'],[nan]
BB_595_CTD,sea_water_pressure_QC,['byte'],[nan]
BB_595_CTD,station_id,['String'],[nan]
BB_595_CTD,time,['double'],[nan]
CAC_WW_d01_20220414_to_20220426_v002,CNDC,['double'],[nan]
CAC_WW_d01_20220414_to_20220426_v002,CNDC_QC,['double'],[nan]
CAC_WW_d01_20220414_to_20220426_v002,DENS_AN,['double'],[nan]
CAC_WW_d01_20220414_to_20220426_v002,DEPH_QC,['double'],[nan]
CAC_WW_d01_20220414_to_20220426_v002,DOXY,['double'],[nan]
CAC_WW_d01_20220414_to_20220426_v002,DOXY_QC,['double'],[nan]
CAC_WW_d01_20220414_to_20220426_v002,FLU2,['double'],[nan]
CAC_WW_d01_20220414_to_20220426_v002,FLU2_QC,['double'],[nan]
CAC_WW_d01_20220414_to_20220426_v002,OSAT,['double'],[nan]
CAC_WW_d01_20220414_to_20220426_v002,OSAT_QC,['double'],[nan]
CAC_WW_d01_20220414_to_20220426_v002,POSITION_QC,['float'],[nan]
CAC_WW_d01_20220414_to_20220426_v002,PRES,['double'],[nan]
CAC_WW_d01_20220414_to_20220426_v002,PRES_QC,['double'],[nan]
CAC_WW_d01_20220414_to_20220426_v002,PRST,['double'],[nan]
CAC_WW_d01_20220414_to_20220426_v002,PRST_QC,['double'],[nan]
CAC_WW_d01_20220414_to_20220426_v002,PSAL,['double'],[nan]
CAC_WW_d01_20220414_to_20220426_v002,PSAL_QC,['double'],[nan]
CAC_WW_d01_20220414_to_20220426_v002,SPEC_CNDC,['double'],[nan]
CAC_WW_d01_20220414_to_20220426_v002,SVEL,['double'],[nan]
CAC_WW_d01_20220414_to_20220426_v002,TEMP,['double'],[nan]
CAC_WW_d01_20220414_to_20220426_v002,TEMP_DOXY,['double'],[nan]
CAC_WW_d01_20220414_to_20220426_v002,TEMP_DOXY_QC,['double'],[nan]
CAC_WW_d01_20220414_to_20220426_v002,TEMP_QC,['double'],[nan]
CAC_WW_d01_20220414_to_20220426_v002,TUR4,['double'],[nan]
CAC_WW_d01_20220414_to_20220426_v002,TUR4_QC,['double'],[nan]
CAC_WW_d01_20220414_to_20220426_v002,depth,['double'],[nan]
CAC_WW_d01_20220414_to_20220426_v002,latitude,['float'],[nan]
CAC_WW_d01_20220414_to_20220426_v002,longitude,['float'],[nan]
CAC_WW_d01_20220414_to_20220426_v002,time,['double'],[nan]
Canary_Islands_OS_ESTOC_201510_D_CTD-FixO3-100m,CNDC,['float'],"['time, depth']"
Canary_Islands_OS_ESTOC_201510_D_CTD-FixO3-100m,CNDC_QC,['byte'],"['time, depth']"
Canary_Islands_OS_ESTOC_201510_D_CTD-FixO3-100m,DEPTH_SENSOR,['float'],"['time, depth']"
Canary_Islands_OS_ESTOC_201510_D_CTD-FixO3-100m,DEPTH_SENSOR_QC,['byte'],"['time, depth']"
Canary_Islands_OS_ESTOC_201510_D_CTD-FixO3-100m,PSAL,['float'],"['time, depth']"
Canary_Islands_OS_ESTOC_201510_D_CTD-FixO3-100m,PSAL_QC,['byte'],"['time, depth']"
Canary_Islands_OS_ESTOC_201510_D_CTD-FixO3-100m,TEMP,['float'],"['time, depth']"
Canary_Islands_OS_ESTOC_201510_D_CTD-FixO3-100m,TEMP_QC,['byte'],"['time, depth']"
E1M3A_20070528_20080226,ATMS,['float'],[nan]
E1M3A_20070528_20080226,ATMS_QC,['byte'],[nan]
E1M3A_20070528_20080226,DEPTH_QC,['byte'],[nan]
E1M3A_20070528_20080226,DOX1,['float'],[nan]
E1M3A_20070528_20080226,DOX1_QC,['byte'],[nan]
E1M3A_20070528_20080226,DRYT,['float'],[nan]
E1M3A_20070528_20080226,DRYT_QC,['byte'],[nan]
E1M3A_20070528_20080226,FLU2,['float'],[nan]
E1M3A_20070528_20080226,FLU2_QC,['byte'],[nan]
E1M3A_20070528_20080226,GPS_POSITION_QC,['byte'],[nan]
E1M3A_20070528_20080226,GSPD,['float'],[nan]
E1M3A_20070528_20080226,GSPD_QC,['byte'],[nan]
E1M3A_20070528_20080226,HCDT,['float'],[nan]
E1M3A_20070528_20080226,HCDT_QC,['byte'],[nan]
E1M3A_20070528_20080226,HCSP,['float'],[nan]
E1M3A_20070528_20080226,HCSP_QC,['byte'],[nan]
E1M3A_20070528_20080226,POSITION_QC,['byte'],[nan]
E1M3A_20070528_20080226,PRES,['float'],[nan]
E1M3A_20070528_20080226,PRES_QC,['byte'],[nan]
E1M3A_20070528_20080226,PSAL,['float'],[nan]
E1M3A_20070528_20080226,PSAL_QC,['byte'],[nan]
E1M3A_20070528_20080226,TEMP,['float'],[nan]
E1M3A_20070528_20080226,TEMP_QC,['byte'],[nan]
E1M3A_20070528_20080226,TIME_QC,['byte'],[nan]
E1M3A_20070528_20080226,TUR4,['float'],[nan]
E1M3A_20070528_20080226,TUR4_QC,['byte'],[nan]
E1M3A_20070528_20080226,VHM0,['float'],[nan]
E1M3A_20070528_20080226,VHM0_QC,['byte'],[nan]
E1M3A_20070528_20080226,VMDR,['float'],[nan]
E1M3A_20070528_20080226,VMDR_QC,['byte'],[nan]
E1M3A_20070528_20080226,VTM02,['float'],[nan]
E1M3A_20070528_20080226,VTM02_QC,['byte'],[nan]
E1M3A_20070528_20080226,VTPK,['float'],[nan]
E1M3A_20070528_20080226,VTPK_QC,['byte'],[nan]
E1M3A_20070528_20080226,VZMX,['float'],[nan]
E1M3A_20070528_20080226,VZMX_QC,['byte'],[nan]
E1M3A_20070528_20080226,WDIR,['float'],[nan]
E1M3A_20070528_20080226,WDIR_QC,['byte'],[nan]
E1M3A_20070528_20080226,WSPD,['float'],[nan]
E1M3A_20070528_20080226,WSPD_QC,['byte'],[nan]
E1M3A_20070528_20080226,depth,['float'],[nan]
E1M3A_20070528_20080226,latitude,['float'],[nan]
E1M3A_20070528_20080226,longitude,['float'],[nan]
E1M3A_20070528_20080226,preciseLat,['float'],[nan]
E1M3A_20070528_20080226,preciseLon,['float'],[nan]
E1M3A_20070528_20080226,station_name,['char'],[nan]
E1M3A_20070528_20080226,time,['double'],[nan]
E1M3A_20080227_20090725,ATMS,['float'],[nan]
E1M3A_20080227_20090725,ATMS_QC,['byte'],[nan]
E1M3A_20080227_20090725,DEPTH_QC,['byte'],[nan]
E1M3A_20080227_20090725,DOX1,['float'],[nan]
E1M3A_20080227_20090725,DOX1_QC,['byte'],[nan]
E1M3A_20080227_20090725,DRYT,['float'],[nan]
E1M3A_20080227_20090725,DRYT_QC,['byte'],[nan]
E1M3A_20080227_20090725,FLU2,['float'],[nan]
E1M3A_20080227_20090725,FLU2_QC,['byte'],[nan]
