DatasetID,Attribute Name,Variable Name,Data Type,Value
OceanGlidersGDACTrajectories,Conventions,NC_GLOBAL,['String'],"['CF-1.6 EGO-1.2, COARDS, ACDD-1.3']"
OceanGlidersGDACTrajectories,DM_indicator,CHLA,['String'],['R']
OceanGlidersGDACTrajectories,DM_indicator,CNDC,['String'],['R']
OceanGlidersGDACTrajectories,DM_indicator,MOLAR_DOXY,['String'],['R']
OceanGlidersGDACTrajectories,DM_indicator,PRES,['String'],['R']
OceanGlidersGDACTrajectories,DM_indicator,PSAL,['String'],['R']
OceanGlidersGDACTrajectories,DM_indicator,TEMP,['String'],['R']
OceanGlidersGDACTrajectories,DM_indicator,TEMP_DOXY,['String'],['R']
OceanGlidersGDACTrajectories,Easternmost_Easting,NC_GLOBAL,['double'],['696970.15']
OceanGlidersGDACTrajectories,Northernmost_Northing,NC_GLOBAL,['double'],['696970.15']
OceanGlidersGDACTrajectories,QC_procedure,CHLA_QC,['String'],['1']
OceanGlidersGDACTrajectories,QC_procedure,CNDC_QC,['String'],['1']
OceanGlidersGDACTrajectories,QC_procedure,JULD,['String'],['1']
OceanGlidersGDACTrajectories,QC_procedure,JULD_QC,['String'],['1']
OceanGlidersGDACTrajectories,QC_procedure,MOLAR_DOXY_QC,['String'],['1']
OceanGlidersGDACTrajectories,QC_procedure,PRES_QC,['String'],['1']
OceanGlidersGDACTrajectories,QC_procedure,PSAL_QC,['String'],['1']
OceanGlidersGDACTrajectories,QC_procedure,TEMP_DOXY_QC,['String'],['1']
OceanGlidersGDACTrajectories,QC_procedure,TEMP_QC,['String'],['1']
OceanGlidersGDACTrajectories,QC_procedure,TIME_QC,['String'],['1']
OceanGlidersGDACTrajectories,QC_procedure,latitude,['double'],['1.0']
OceanGlidersGDACTrajectories,QC_procedure,longitude,['double'],['1.0']
OceanGlidersGDACTrajectories,QC_procedure,time,['String'],['1']
OceanGlidersGDACTrajectories,Southernmost_Northing,NC_GLOBAL,['double'],['-94.01332363329217']
OceanGlidersGDACTrajectories,Westernmost_Easting,NC_GLOBAL,['double'],['-179.9998312997277']
OceanGlidersGDACTrajectories,_CoordinateAxisType,latitude,['String'],['Lat']
OceanGlidersGDACTrajectories,_CoordinateAxisType,longitude,['String'],['Lon']
OceanGlidersGDACTrajectories,_CoordinateAxisType,time,['String'],['Time']
OceanGlidersGDACTrajectories,_FillValue,CHLA,['float'],['99999.0']
OceanGlidersGDACTrajectories,_FillValue,CHLA_QC,['byte'],['-128']
OceanGlidersGDACTrajectories,_FillValue,CHLA_UNCERTAINTY,['float'],['99999.0']
OceanGlidersGDACTrajectories,_FillValue,CNDC,['float'],['99999.0']
OceanGlidersGDACTrajectories,_FillValue,CNDC_QC,['byte'],['-128']
OceanGlidersGDACTrajectories,_FillValue,CNDC_UNCERTAINTY,['float'],['99999.0']
OceanGlidersGDACTrajectories,_FillValue,JULD_QC,['byte'],['-128']
