DatasetID,Variable Name,Data Type,Value
OceanGlidersGDACTrajectories,BBP700,['float'],[nan]
OceanGlidersGDACTrajectories,BBP700_QC,['byte'],[nan]
OceanGlidersGDACTrajectories,BBP700_UNCERTAINTY,['float'],[nan]
OceanGlidersGDACTrajectories,BPHASE_DOXY,['float'],[nan]
OceanGlidersGDACTrajectories,BPHASE_DOXY_QC,['byte'],[nan]
OceanGlidersGDACTrajectories,BPHASE_DOXY_UNCERTAINTY,['float'],[nan]
OceanGlidersGDACTrajectories,CDOM,['float'],[nan]
OceanGlidersGDACTrajectories,CDOM_QC,['byte'],[nan]
OceanGlidersGDACTrajectories,CDOM_UNCERTAINTY,['float'],[nan]
OceanGlidersGDACTrajectories,CHLA,['float'],[nan]
OceanGlidersGDACTrajectories,CHLA_QC,['byte'],[nan]
OceanGlidersGDACTrajectories,CHLA_UNCERTAINTY,['float'],[nan]
OceanGlidersGDACTrajectories,CNDC,['float'],[nan]
OceanGlidersGDACTrajectories,CNDC_QC,['byte'],[nan]
OceanGlidersGDACTrajectories,CNDC_UNCERTAINTY,['float'],[nan]
OceanGlidersGDACTrajectories,DPHASE_DOXY,['float'],[nan]
OceanGlidersGDACTrajectories,DPHASE_DOXY_QC,['byte'],[nan]
OceanGlidersGDACTrajectories,DPHASE_DOXY_UNCERTAINTY,['float'],[nan]
OceanGlidersGDACTrajectories,JULD,['double'],[nan]
OceanGlidersGDACTrajectories,JULD_QC,['byte'],[nan]
OceanGlidersGDACTrajectories,MOLAR_DOXY,['float'],[nan]
OceanGlidersGDACTrajectories,MOLAR_DOXY_QC,['byte'],[nan]
OceanGlidersGDACTrajectories,MOLAR_DOXY_UNCERTAINTY,['float'],[nan]
OceanGlidersGDACTrajectories,PHASE_NUMBER,['int'],[nan]
OceanGlidersGDACTrajectories,POSITIONING_METHOD,['byte'],[nan]
OceanGlidersGDACTrajectories,POSITION_QC,['byte'],[nan]
OceanGlidersGDACTrajectories,PRES,['float'],[nan]
OceanGlidersGDACTrajectories,PRES_QC,['byte'],[nan]
OceanGlidersGDACTrajectories,PRES_UNCERTAINTY,['float'],[nan]
OceanGlidersGDACTrajectories,PSAL,['float'],[nan]
OceanGlidersGDACTrajectories,PSAL_QC,['byte'],[nan]
OceanGlidersGDACTrajectories,PSAL_UNCERTAINTY,['float'],[nan]
OceanGlidersGDACTrajectories,RPHASE_DOXY,['float'],[nan]
OceanGlidersGDACTrajectories,RPHASE_DOXY_QC,['byte'],[nan]
OceanGlidersGDACTrajectories,RPHASE_DOXY_UNCERTAINTY,['float'],[nan]
OceanGlidersGDACTrajectories,TEMP,['float'],[nan]
OceanGlidersGDACTrajectories,TEMP_DOXY,['float'],[nan]
OceanGlidersGDACTrajectories,TEMP_DOXY_QC,['byte'],[nan]
OceanGlidersGDACTrajectories,TEMP_DOXY_UNCERTAINTY,['float'],[nan]
OceanGlidersGDACTrajectories,TEMP_QC,['byte'],[nan]
OceanGlidersGDACTrajectories,TEMP_UNCERTAINTY,['float'],[nan]
OceanGlidersGDACTrajectories,TIME_QC,['byte'],[nan]
OceanGlidersGDACTrajectories,latitude,['double'],[nan]
OceanGlidersGDACTrajectories,longitude,['double'],[nan]
OceanGlidersGDACTrajectories,platform_deployment,['String'],[nan]
OceanGlidersGDACTrajectories,time,['double'],[nan]
