DatasetID,Variable Name,Data Type,Value
HF_75c7_5b60_95d8,depth,['short'],"['nValues=1, onlyValue=0.0']"
HF_75c7_5b60_95d8,latitude,['float'],"['nValues=29, evenlySpaced=true, averageSpacing=0.04499999999999993']"
HF_75c7_5b60_95d8,longitude,['float'],"['nValues=33, evenlySpaced=true, averageSpacing=0.062287062500000004']"
HF_75c7_5b60_95d8,time,['double'],"['nValues=40240, evenlySpaced=false, averageSpacing=1h 12m 18s']"
HF_ac49_84ad_3eb6,depth,['short'],"['nValues=1, onlyValue=0.0']"
HF_ac49_84ad_3eb6,latitude,['float'],"['nValues=113, evenlySpaced=true, averageSpacing=0.05377607142857142']"
HF_ac49_84ad_3eb6,longitude,['float'],"['nValues=276, evenlySpaced=true, averageSpacing=0.1652301818181818']"
HF_ac49_84ad_3eb6,time,['double'],"['nValues=8888, evenlySpaced=false, averageSpacing=4h 4m 26s']"
OACP-Argo-Global,latitude,['double'],"['nValues=127, evenlySpaced=true, averageSpacing=1.0']"
OACP-Argo-Global,longitude,['double'],"['nValues=373, evenlySpaced=true, averageSpacing=1.0']"
OS_DYFAMED_1994-2014_D_TSO2,PRES,['float'],"['nValues=2489, evenlySpaced=true, averageSpacing=1.0']"
OS_DYFAMED_1994-2014_D_TSO2,time,['double'],"['nValues=181, evenlySpaced=false, averageSpacing=41 days 22h 48m 9s']"
SDC_BAL_CLIM_TS_V1_m,depth,['double'],"['nValues=29, evenlySpaced=false, averageSpacing=10.714285714285714']"
SDC_BAL_CLIM_TS_V1_m,latitude,['double'],"['nValues=417, evenlySpaced=true, averageSpacing=0.03125']"
SDC_BAL_CLIM_TS_V1_m,longitude,['double'],"['nValues=353, evenlySpaced=true, averageSpacing=0.0625']"
SDC_BAL_CLIM_TS_V1_m,time,['double'],"['nValues=84, evenlySpaced=false, averageSpacing=224 days 1h 26m 45s']"
SDC_BAL_CLIM_TS_V1_s,depth,['double'],"['nValues=29, evenlySpaced=false, averageSpacing=10.714285714285714']"
SDC_BAL_CLIM_TS_V1_s,latitude,['double'],"['nValues=417, evenlySpaced=true, averageSpacing=0.03125']"
SDC_BAL_CLIM_TS_V1_s,longitude,['double'],"['nValues=353, evenlySpaced=true, averageSpacing=0.0625']"
SDC_BAL_CLIM_TS_V1_s,time,['double'],"['nValues=28, evenlySpaced=false, averageSpacing=686 days 12h 26m 40s']"
SDC_BAL_CLIM_TS_V2_m,depth,['double'],"['nValues=29, evenlySpaced=false, averageSpacing=10.714285714285714']"
SDC_BAL_CLIM_TS_V2_m,latitude,['double'],"['nValues=417, evenlySpaced=true, averageSpacing=0.03125']"
SDC_BAL_CLIM_TS_V2_m,longitude,['double'],"['nValues=353, evenlySpaced=true, averageSpacing=0.0625']"
SDC_BAL_CLIM_TS_V2_m,time,['double'],"['nValues=84, evenlySpaced=false, averageSpacing=232 days 20h 31m 48s']"
SDC_BAL_CLIM_TS_V2_s,depth,['double'],"['nValues=29, evenlySpaced=false, averageSpacing=10.714285714285714']"
SDC_BAL_CLIM_TS_V2_s,latitude,['double'],"['nValues=417, evenlySpaced=true, averageSpacing=0.03125']"
SDC_BAL_CLIM_TS_V2_s,longitude,['double'],"['nValues=353, evenlySpaced=true, averageSpacing=0.0625']"
SDC_BAL_CLIM_TS_V2_s,time,['double'],"['nValues=28, evenlySpaced=false, averageSpacing=713 days 13h 20m 0s']"
SDC_BLS_CLIM_TS_V1_m,depth,['double'],"['nValues=67, evenlySpaced=false, averageSpacing=30.303030303030305']"
SDC_BLS_CLIM_TS_V1_m,latitude,['double'],"['nValues=52, evenlySpaced=true, averageSpacing=0.125']"
SDC_BLS_CLIM_TS_V1_m,longitude,['double'],"['nValues=116, evenlySpaced=true, averageSpacing=0.125']"
SDC_BLS_CLIM_TS_V1_m,time,['double'],"['nValues=36, evenlySpaced=false, averageSpacing=343 days 11h 39m 26s']"
SDC_BLS_CLIM_TS_V1_s,depth,['double'],"['nValues=67, evenlySpaced=false, averageSpacing=30.303030303030305']"
SDC_BLS_CLIM_TS_V1_s,latitude,['double'],"['nValues=52, evenlySpaced=true, averageSpacing=0.125']"
SDC_BLS_CLIM_TS_V1_s,longitude,['double'],"['nValues=116, evenlySpaced=true, averageSpacing=0.125']"
SDC_BLS_CLIM_TS_V1_s,time,['double'],"['nValues=36, evenlySpaced=false, averageSpacing=550 days 10h 58m 17s']"
SDC_BLS_CLIM_TS_V2_m,depth,['double'],"['nValues=67, evenlySpaced=false, averageSpacing=30.303030303030305']"
SDC_BLS_CLIM_TS_V2_m,latitude,['double'],"['nValues=52, evenlySpaced=true, averageSpacing=0.125']"
SDC_BLS_CLIM_TS_V2_m,longitude,['double'],"['nValues=116, evenlySpaced=true, averageSpacing=0.125']"
SDC_BLS_CLIM_TS_V2_m,time,['double'],"['nValues=36, evenlySpaced=false, averageSpacing=353 days 21h 56m 34s']"
SDC_BLS_CLIM_TS_V2_s,depth,['double'],"['nValues=67, evenlySpaced=false, averageSpacing=30.303030303030305']"
SDC_BLS_CLIM_TS_V2_s,latitude,['double'],"['nValues=52, evenlySpaced=true, averageSpacing=0.125']"
SDC_BLS_CLIM_TS_V2_s,longitude,['double'],"['nValues=116, evenlySpaced=true, averageSpacing=0.125']"
SDC_BLS_CLIM_TS_V2_s,time,['double'],"['nValues=36, evenlySpaced=false, averageSpacing=560 days 21h 56m 34s']"
SDC_GLO_CLIM_TS_V1_1,depth,['short'],"['nValues=44, evenlySpaced=true, averageSpacing=1.0']"
SDC_GLO_CLIM_TS_V1_1,latitude,['double'],"['nValues=641, evenlySpaced=true, averageSpacing=0.25']"
SDC_GLO_CLIM_TS_V1_1,longitude,['double'],"['nValues=1440, evenlySpaced=true, averageSpacing=0.25']"
SDC_GLO_CLIM_TS_V1_1,time,['double'],"['nValues=12, evenlySpaced=false, averageSpacing=30 days 8h 43m 38s']"
SDC_GLO_CLIM_TS_V1_2,depth,['short'],"['nValues=37, evenlySpaced=true, averageSpacing=1.0']"
