DatasetID,Variable Name,Data Type,Value
ArgoFloats,chla,['float'],[nan]
ArgoFloats,chla_qc,['String'],[nan]
ArgoFloats,config_mission_number,['int'],[nan]
ArgoFloats,cycle_number,['int'],[nan]
ArgoFloats,data_center,['String'],[nan]
ArgoFloats,data_mode,['String'],[nan]
ArgoFloats,data_state_indicator,['String'],[nan]
ArgoFloats,data_type,['String'],[nan]
ArgoFloats,date_creation,['double'],[nan]
ArgoFloats,date_update,['double'],[nan]
ArgoFloats,dc_reference,['String'],[nan]
ArgoFloats,direction,['String'],[nan]
ArgoFloats,doxy,['float'],[nan]
ArgoFloats,doxy_qc,['String'],[nan]
ArgoFloats,fileNumber,['String'],[nan]
ArgoFloats,firmware_version,['String'],[nan]
ArgoFloats,float_serial_no,['String'],[nan]
ArgoFloats,format_version,['String'],[nan]
ArgoFloats,handbook_version,['String'],[nan]
ArgoFloats,latitude,['double'],[nan]
ArgoFloats,longitude,['double'],[nan]
ArgoFloats,molar_doxy,['float'],[nan]
ArgoFloats,molar_doxy_qc,['String'],[nan]
ArgoFloats,nitrate,['float'],[nan]
ArgoFloats,nitrate_qc,['String'],[nan]
ArgoFloats,pi_name,['String'],[nan]
ArgoFloats,platform_number,['String'],[nan]
ArgoFloats,platform_type,['String'],[nan]
ArgoFloats,position_qc,['String'],[nan]
ArgoFloats,positioning_system,['String'],[nan]
ArgoFloats,pres,['float'],[nan]
ArgoFloats,pres_adjusted,['float'],[nan]
ArgoFloats,pres_adjusted_error,['float'],[nan]
ArgoFloats,pres_adjusted_qc,['String'],[nan]
ArgoFloats,pres_qc,['String'],[nan]
ArgoFloats,profile_pres_qc,['String'],[nan]
ArgoFloats,profile_psal_qc,['String'],[nan]
ArgoFloats,profile_temp_qc,['String'],[nan]
ArgoFloats,project_name,['String'],[nan]
ArgoFloats,psal,['float'],[nan]
ArgoFloats,psal_adjusted,['float'],[nan]
ArgoFloats,psal_adjusted_error,['float'],[nan]
ArgoFloats,psal_adjusted_qc,['String'],[nan]
ArgoFloats,psal_qc,['String'],[nan]
ArgoFloats,reference_date_time,['double'],[nan]
ArgoFloats,temp,['float'],[nan]
ArgoFloats,temp_adjusted,['float'],[nan]
ArgoFloats,temp_adjusted_error,['float'],[nan]
ArgoFloats,temp_adjusted_qc,['String'],[nan]
