Property,Count,Types,Example
id,1,int,760094
cvNumber,1,int,1
startDate,1,str,2008-03-23T02:00:54.000+0000
endDate,1,str,2008-03-23T02:00:54.000+0000
coordinate,1,dict,"{'lat': -28.184, 'lon': -22.997}"
coordinate.lat,1,float,-28.184
coordinate.lon,1,float,-22.997
globalGeoShapeField,1,dict,"{'x': -22.997, 'y': -28.184, 'coordinates': [-22.997, -28.184], 'type': 'Point'}"
globalGeoShapeField.x,1,float,-22.997
globalGeoShapeField.y,1,float,-28.184
globalGeoShapeField.coordinates,1,list,"[-22.997, -28.184]"
globalGeoShapeField.type,1,str,Point
platformCode,1,str,3900675
positionQc,1,str,1
dateQc,1,str,1
cycleQcState,1,str,Good
pmax,1,float,1820.0
stations,1,list,"[{'stationId': 5933705, 'coordinate': {'lat': -28.184, 'lon': -22.997}, 'cvNumber': 1, 'positionQc': '1', 'dateQc': '1', 'type': 'Primary sampling: averaged [data averaged with equal weights into irregular pressure bins', 'direction': 'A', 'date': '2008-03-23T02:00:54.000+0000', 'level': 79, 'primary': True, 'physicalParameters': [66, 35, 68, 70, 28, 30]}]"
stations.stationId,1,int,5933705
stations.coordinate,1,dict,"{'lat': -28.184, 'lon': -22.997}"
stations.coordinate.lat,1,float,-28.184
stations.coordinate.lon,1,float,-22.997
stations.cvNumber,1,int,1
stations.positionQc,1,str,1
stations.dateQc,1,str,1
stations.type,1,str,Primary sampling: averaged [data averaged with equal weights into irregular pressure bins
stations.direction,1,str,A
stations.date,1,str,2008-03-23T02:00:54.000+0000
stations.level,1,int,79
stations.primary,1,bool,True
stations.physicalParameters,1,list,"[66, 35, 68, 70, 28, 30]"
basins,1,list,"['ATLANTIC OCEAN', 'SOUTHWEST ATLANTIC OCEAN (20W)']"
parameters,1,list,"['TEMP', 'PRES', 'PSAL']"
networkCodes,1,list,['CORE']
groupCodes,1,list,['Public context to visualize platforms in eulerian app']
deploymentDate,1,str,2008-03-22T11:45:00.000+0000
deploymentYear,1,str,2008
countryLabel,1,str,United States
institutionLabel,1,str,Woods Hole Oceanographic Institution
telecomCode,1,str,ARGOS
dacCode,1,str,AOML
platformTypeCode,1,str,SOLO_W
pI,1,str,BRECK OWENS
statusCode,1,str,I
sensors,1,list,"['CTD_TEMP', 'CTD_PRES', 'CTD_CNDC']"
dataMode,1,str,D
lastUpdateDate,1,str,2024-08-11T16:00:49.248+0000
level,1,int,79
physicalParameters,1,list,"[{'code': 66, 'labelWithCode': '66#Sea pressure adjusted'}, {'code': 68, 'labelWithCode': '68#Sea temperature adjusted'}, {'code': 70, 'labelWithCode': '70#Practical salinity adjusted'}]"
physicalParameters.code,3,int,70
physicalParameters.labelWithCode,3,str,70#Practical salinity adjusted
