Property,Count,Types,Example
wmo,19045,str,7902194
serialInst,19045,"NoneType, str",AI2632-23EU018
serialIMEI,19045,NoneType,
platform,19045,dict,"{'code': '7902194', 'name': 'ARVOR-DO Profiling Float', 'description': 'Argo POLAND', 'comment': None, 'activity': None, 'type': 'ARVOR'}"
platform.code,19045,str,7902194
platform.name,19045,str,ARVOR-DO Profiling Float
platform.description,19045,str,Argo POLAND
platform.comment,19045,"str, NoneType",
platform.activity,19045,"str, NoneType",
platform.type,19045,"NoneType, str",ARVOR
sensors,19045,list,[]
parameters,19045,list,[]
transmissionSystem,19045,str,IRIDIUM
alertStatus,19045,int,0
battery,19045,dict,"{'level': 10.3, 'status': 'ok', 'sourceParameter': 'VOLTAGE_BatteryPumpStartProfile_volts'}"
battery.level,19045,"float, NoneType",10.3
battery.status,19045,str,ok
battery.sourceParameter,19045,"str, NoneType",VOLTAGE_BatteryPumpStartProfile_volts
maker,19045,"NoneType, str",NKE
model,19045,"NoneType, str",
firmwareVersion,19045,"NoneType, str",5900A05
prVersion,19045,"str, NoneType",5.48
projectName,19045,"NoneType, str",
lastFlagSuperHydraulicAlert,19045,str,-
configDataList,19045,list,"[{'argoCode': 'CONFIG_AscentEndThreshold_dbar', 'value': 10.0}, {'argoCode': 'CONFIG_AscentSamplingPeriod_seconds', 'value': 10.0}, {'argoCode': 'CONFIG_AscentSpeed_mm/s', 'value': 90.0}, {'argoCode': 'CONFIG_AscentVerticalThresholdForBuoyancyAction_dbar', 'value': 10.0}, {'argoCode': 'CONFIG_BuoyancyReductionFirstThreshold_dbar', 'value': 1.0}, {'argoCode': 'CONFIG_BuoyancyReductionSecondThreshold_dbar', 'value': 5.0}, {'argoCode': 'CONFIG_CTDPowerAcquisitionMode_NUMBER', 'value': 1.0}, {'argoCode': 'CONFIG_CTDPumpStopPressurePlusThreshold_dbar', 'value': 2.5}, {'argoCode': 'CONFIG_CTDPumpStopPressure_dbar', 'value': 2.0}, {'argoCode': 'CONFIG_ConnectionTimeOut_minutes', 'value': 120.0}, {'argoCode': 'CONFIG_CycleTime_hours', 'value': 70.5}, {'argoCode': 'CONFIG_DelayBeforeMissionStart_minutes', 'value': 30.0}, {'argoCode': 'CONFIG_DescentSpeed_mm/s', 'value': 25.0}, {'argoCode': 'CONFIG_DescentToParkPresSamplingTime_seconds', 'value': 10.0}, {'argoCode': 'CONFIG_DescentVerticalThresholdForBuoyancyAction_dbar', 'value': 3.0}, {'argoCode': 'CONFIG_Direction_NUMBER', 'value': 3.0}, {'argoCode': 'CONFIG_FloatReferenceDay_FloatDay', 'value': 2.0}, {'argoCode': 'CONFIG_GPSTimeout_minutes', 'value': 45.0}, {'argoCode': 'CONFIG_GroundingModeMinPresThreshold_dbar', 'value': 50.0}, {'argoCode': 'CONFIG_GroundingModePresAdjustment_dbar', 'value': 20.0}, {'argoCode': 'CONFIG_GroundingMode_LOGICAL', 'value': 1.0}, {'argoCode': 'CONFIG_HydraulicDataTransmission_LOGICAL', 'value': 1.0}, {'argoCode': 'CONFIG_InAirMeasurementPeriodicity_NUMBER', 'value': 2.0}, {'argoCode': 'CONFIG_InAirMeasurementSamplingPeriod_seconds', 'value': 30.0}, {'argoCode': 'CONFIG_InAirMeasurementTime_minutes', 'value': 5.0}, {'argoCode': 'CONFIG_InternalPressureCalibrationCoef1_NUMBER', 'value': 1.323}, {'argoCode': 'CONFIG_InternalPressureCalibrationCoef2_NUMBER', 'value': 5.0}, {'argoCode': 'CONFIG_MaxCycles_NUMBER', 'value': 999.0}, {'argoCode': 'CONFIG_NumberOfOutOfTolerancePresBeforeReposition_COUNT', 'value': 2.0}, {'argoCode': 'CONFIG_OilVolumeMaxPerValveAction_cm^3', 'value': 11.0}, {'argoCode': 'CONFIG_OilVolumeMinForGroundingDetection_cm^3', 'value': 50.0}, {'argoCode': 'CONFIG_ParkPressure_dbar', 'value': 200.0}, {'argoCode': 'CONFIG_ParkSamplingPeriod_hours', 'value': 6.0}, {'argoCode': 'CONFIG_PressureCheckTimeAscent_minutes', 'value': 2.0}, {'argoCode': 'CONFIG_PressureCheckTimeDescent_minutes', 'value': 5.0}, {'argoCode': 'CONFIG_PressureMaxBeforeEmergencyAscent_dbar', 'value': 2100.0}, {'argoCode': 'CONFIG_PressureOffsetDelayBeforeResetCommand_minutes', 'value': 0.0}, {'argoCode': 'CONFIG_PressureTargetToleranceDuringDrift_dbar', 'value': 12.0}, {'argoCode': 'CONFIG_PressureTargetToleranceForStabilisation_dbar', 'value': 10.0}, {'argoCode': 'CONFIG_PressureThresholdDataReductionIntermediateToDeep_dbar', 'value': 500.0}, {'argoCode': 'CONFIG_PressureThresholdDataReductionShallowToIntermediate_dbar', 'value': 100.0}, {'argoCode': 'CONFIG_ProfileBottomSlicesThickness_dbar', 'value': 5.0}, {'argoCode': 'CONFIG_ProfileIntermediateSlicesThickness_dbar', 'value': 2.0}, {'argoCode': 'CONFIG_ProfilePressure_dbar', 'value': 200.0}, {'argoCode': 'CONFIG_ProfileSurfaceSlicesThickness_dbar', 'value': 1.0}, {'argoCode': 'CONFIG_PumpActionMaxTimeAscent_csec', 'value': 720.0}, {'argoCode': 'CONFIG_PumpActionMaxTimeReposition_csec', 'value': 290.0}, {'argoCode': 'CONFIG_PumpActionTimeBuoyancyAcquisitionForInAirMeasCycle_csec', 'value': 30000.0}, {'argoCode': 'CONFIG_PumpActionTimeBuoyancyAcquisition_csec', 'value': 27000.0}, {'argoCode': 'CONFIG_SurfaceTime_HH', 'value': 23.0}, {'argoCode': 'CONFIG_SurfaceValveMaxTimeAdditionalActions_csec', 'value': 800.0}, {'argoCode': 'CONFIG_TelemetryRepeatSessionDelay_minutes', 'value': 0.0}, {'argoCode': 'CONFIG_TimeDelaybeforeDescentRetryWhenStuckAtSurface_minutes', 'value': 10.0}, {'argoCode': 'CONFIG_TransmissionPeriodEndOfLife_minutes', 'value': 60.0}]"
configDataList.argoCode,377676,str,CONFIG_TransmissionPeriodEndOfLife_minutes
configDataList.value,377676,float,60.0
alertErrorFlags,19045,list,[]
alertWarningFlags,19045,list,[]
alertInfoFlags,19045,list,[]
institution,19045,dict,"{'code': None, 'name': None}"
institution.code,19045,NoneType,
institution.name,19045,NoneType,
dataCenter,19045,dict,"{'code': 'IF', 'name': 'CORIOLIS'}"
dataCenter.code,19045,str,IF
dataCenter.name,19045,str,CORIOLIS
owner,19045,"NoneType, str",Euro-Argo ERIC
projects,19045,list,['ARGO POLAND']
networks,19045,list,[]
variables,19045,list,"['SUBSURFACE PRESSURE', 'SUBSURFACE SALINITY', 'OXYGEN', 'SUBSURFACE TEMPERATURE']"
ptt,19045,"NoneType, str",399125
deployment,19045,dict,"{'launchDate': '2024-05-28T10:25:58.000+00:00', 'year': None, 'platform': 'OCEANIA', 'cruiseName': 'BALTIC2024', 'profilerExperimentId': 'ARGO POLAND', 'principalInvestigatorName': 'Waldemar\xa0WALCZOWSKI', 'lat': 55.2273, 'lon': 16.1621, 'qc': 1}"
deployment.launchDate,19045,"NoneType, str",2024-05-28T10:25:58.000+00:00
deployment.year,19045,NoneType,
deployment.platform,19045,"NoneType, str",OCEANIA
deployment.cruiseName,19045,"str, NoneType",BALTIC2024
deployment.profilerExperimentId,19045,"NoneType, str",ARGO POLAND
deployment.principalInvestigatorName,19045,"NoneType, str",Waldemar WALCZOWSKI
deployment.lat,19045,"NoneType, float",55.2273
deployment.lon,19045,"NoneType, float",16.1621
deployment.qc,19045,int,1
lastCycleBasicInfo,19045,dict,"{'numCycle': 39, 'lat': 54.99904, 'lon': 16.08821, 'positionQc': 1, 'date': '2024-08-18T04:10:55.000+00:00', 'dateQc': None, 'pMax': None, 'grounded': True, 'nLevelMax': None, 'surfaceDate': None, 'bottomMeasure': {'platformCode': None, 'cycleNumber': None, 'direction': None, 'time': None, 'timeQc': None, 'latitude': None, 'longitude': None, 'positionQc': None, 'pres': None, 'presQc': None, 'temp': None, 'tempQc': None, 'psal': None, 'psalQc': None}, 'surfaceMeasure': {'platformCode': None, 'cycleNumber': None, 'direction': None, 'time': None, 'timeQc': None, 'latitude': None, 'longitude': None, 'positionQc': None, 'pres': None, 'presQc': None, 'temp': None, 'tempQc': None, 'psal': None, 'psalQc': None}}"
lastCycleBasicInfo.numCycle,19045,int,39
lastCycleBasicInfo.lat,19045,"NoneType, float",54.99904
lastCycleBasicInfo.lon,19045,"NoneType, float",16.08821
lastCycleBasicInfo.positionQc,19045,"int, NoneType",1
lastCycleBasicInfo.date,19045,"NoneType, str",2024-08-18T04:10:55.000+00:00
lastCycleBasicInfo.dateQc,19045,NoneType,
lastCycleBasicInfo.pMax,19045,"float, NoneType",
lastCycleBasicInfo.grounded,19045,bool,True
lastCycleBasicInfo.nLevelMax,19045,"int, NoneType",
lastCycleBasicInfo.surfaceDate,19045,"str, NoneType",
lastCycleBasicInfo.bottomMeasure,19045,dict,"{'platformCode': None, 'cycleNumber': None, 'direction': None, 'time': None, 'timeQc': None, 'latitude': None, 'longitude': None, 'positionQc': None, 'pres': None, 'presQc': None, 'temp': None, 'tempQc': None, 'psal': None, 'psalQc': None}"
lastCycleBasicInfo.bottomMeasure.platformCode,19045,NoneType,
lastCycleBasicInfo.bottomMeasure.cycleNumber,19045,"int, NoneType",
lastCycleBasicInfo.bottomMeasure.direction,19045,NoneType,
lastCycleBasicInfo.bottomMeasure.time,19045,NoneType,
lastCycleBasicInfo.bottomMeasure.timeQc,19045,NoneType,
lastCycleBasicInfo.bottomMeasure.latitude,19045,NoneType,
lastCycleBasicInfo.bottomMeasure.longitude,19045,NoneType,
lastCycleBasicInfo.bottomMeasure.positionQc,19045,NoneType,
lastCycleBasicInfo.bottomMeasure.pres,19045,"NoneType, float",
lastCycleBasicInfo.bottomMeasure.presQc,19045,"int, NoneType",
lastCycleBasicInfo.bottomMeasure.temp,19045,"NoneType, float",
lastCycleBasicInfo.bottomMeasure.tempQc,19045,"int, NoneType",
lastCycleBasicInfo.bottomMeasure.psal,19045,"NoneType, float",
lastCycleBasicInfo.bottomMeasure.psalQc,19045,"int, NoneType",
lastCycleBasicInfo.surfaceMeasure,19045,dict,"{'platformCode': None, 'cycleNumber': None, 'direction': None, 'time': None, 'timeQc': None, 'latitude': None, 'longitude': None, 'positionQc': None, 'pres': None, 'presQc': None, 'temp': None, 'tempQc': None, 'psal': None, 'psalQc': None}"
lastCycleBasicInfo.surfaceMeasure.platformCode,19045,NoneType,
lastCycleBasicInfo.surfaceMeasure.cycleNumber,19045,"int, NoneType",
lastCycleBasicInfo.surfaceMeasure.direction,19045,NoneType,
lastCycleBasicInfo.surfaceMeasure.time,19045,NoneType,
lastCycleBasicInfo.surfaceMeasure.timeQc,19045,NoneType,
lastCycleBasicInfo.surfaceMeasure.latitude,19045,NoneType,
lastCycleBasicInfo.surfaceMeasure.longitude,19045,NoneType,
lastCycleBasicInfo.surfaceMeasure.positionQc,19045,NoneType,
lastCycleBasicInfo.surfaceMeasure.pres,19045,"NoneType, float",
lastCycleBasicInfo.surfaceMeasure.presQc,19045,"int, NoneType",
lastCycleBasicInfo.surfaceMeasure.temp,19045,"NoneType, float",
lastCycleBasicInfo.surfaceMeasure.tempQc,19045,"int, NoneType",
lastCycleBasicInfo.surfaceMeasure.psal,19045,"NoneType, float",
lastCycleBasicInfo.surfaceMeasure.psalQc,19045,"int, NoneType",
cycles,19045,list,[]
cycleIds,19045,list,[]
locations,19045,list,[]
calibrations,19045,list,[]
configurations,19045,dict,"{'techs': [], 'phases': [], 'cycles': {}, 'missionCycles': {'1': ['1'], '2': ['2'], '3': ['10', '9', '8', '7', '13', '5', '4', '3', '11', '12', '6'], '4': ['27', '28', '29', '30', '31', '32', '33', '34', '35', '36', '37', '38', '26', '25', '24', '23', '22', '21', '39', '19', '18', '17', '16', '15', '14', '20']}}"
configurations.techs,19045,list,[]
configurations.phases,19045,list,[]
configurations.cycles,19045,dict,{}
configurations.missionCycles,19045,dict,"{'1': ['1'], '2': ['2'], '3': ['10', '9', '8', '7', '13', '5', '4', '3', '11', '12', '6'], '4': ['27', '28', '29', '30', '31', '32', '33', '34', '35', '36', '37', '38', '26', '25', '24', '23', '22', '21', '39', '19', '18', '17', '16', '15', '14', '20']}"
configurations.missionCycles.1,14982,list,['1']
countryCode,19045,str,67
statusCode,19045,str,A
greyListParameters,19045,list,[]
lastCycle,19045,NoneType,
earliestCycle,19045,NoneType,
latestCycle,19045,NoneType,
firstCycle,19045,NoneType,
configurations.missionCycles.2,8409,list,['2']
configurations.missionCycles.3,6376,list,"['10', '9', '8', '7', '13', '5', '4', '3', '11', '12', '6']"
configurations.missionCycles.4,5689,list,"['27', '28', '29', '30', '31', '32', '33', '34', '35', '36', '37', '38', '26', '25', '24', '23', '22', '21', '39', '19', '18', '17', '16', '15', '14', '20']"
configurations.missionCycles.5,4871,list,['5']
configurations.missionCycles.44,2174,list,"['145', '146', '147']"
configurations.missionCycles.45,2169,list,"['148', '149']"
configurations.missionCycles.46,2158,list,"['152', '151', '150', '153', '154']"
configurations.missionCycles.47,2142,list,['155']
configurations.missionCycles.48,2124,list,['156']
configurations.missionCycles.49,2135,list,['157']
