DatasetID,Property,Count,Types,Example,UniqueValues
allDatasets,datasetID,171,object,allDatasets,set()
allDatasets,accessible,171,object,public,{'public'}
allDatasets,institution,171,object,Axiom Docker Install,set()
allDatasets,dataStructure,171,object,table,{'table'}
allDatasets,cdm_data_type,171,object,Other,"{'Other', 'Point', 'TimeSeries'}"
allDatasets,class,171,object,EDDTableFromAllDatasets,"{'EDDTableFromAllDatasets', 'EDDTableFromErddap'}"
allDatasets,title,171,object,* The List of All Active Datasets in this ERDDAP *,set()
allDatasets,minLongitude (degrees_east),159,float64,1.75257,set()
allDatasets,maxLongitude (degrees_east),159,float64,1.75257,set()
allDatasets,longitudeSpacing (degrees_east),0,float64,,set()
allDatasets,minLatitude (degrees_north),159,float64,41.18212,set()
allDatasets,maxLatitude (degrees_north),159,float64,41.18212,set()
allDatasets,latitudeSpacing (degrees_north),0,float64,,set()
allDatasets,minAltitude (m),143,float64,-20.0,set()
allDatasets,maxAltitude (m),143,float64,-20.0,set()
allDatasets,minTime (UTC),163,object,2010-03-12T09:30:00Z,set()
allDatasets,maxTime (UTC),155,object,2022-12-31T23:30:00Z,set()
allDatasets,timeSpacing (seconds),0,float64,,set()
allDatasets,griddap,0,float64,,set()
allDatasets,subset,153,object,https://erddap.emso.eu/erddap/tabledap/allDatasets.subset,set()
allDatasets,tabledap,171,object,https://erddap.emso.eu/erddap/tabledap/allDatasets,set()
allDatasets,MakeAGraph,171,object,https://erddap.emso.eu/erddap/tabledap/allDatasets.graph,set()
allDatasets,sos,0,float64,,set()
allDatasets,wcs,0,float64,,set()
allDatasets,wms,0,float64,,set()
allDatasets,files,0,float64,,set()
allDatasets,fgdc,170,object,https://erddap.emso.eu/erddap/metadata/fgdc/xml/EMSO_OBSEA_CTD_30min_fgdc.xml,set()
allDatasets,iso19115,170,object,https://erddap.emso.eu/erddap/metadata/iso19115/xml/EMSO_OBSEA_CTD_30min_iso19115.xml,set()
allDatasets,metadata,171,object,https://erddap.emso.eu/erddap/info/allDatasets/index,set()
allDatasets,sourceUrl,171,object,https://localhost:8443/erddap,"{'(local files)', 'https://localhost:8443/erddap', '(source database)'}"
allDatasets,infoUrl,171,object,https://erddap.emso.eu/erddap,set()
allDatasets,rss,171,object,https://erddap.emso.eu/erddap/rss/allDatasets.rss,set()
allDatasets,email,171,object,https://erddap.emso.eu/erddap/subscriptions/add.html?datasetID=allDatasets&showErrors=false&email=,set()
allDatasets,testOutOfDate,10,object,now-5days,"{'now-2days', 'now-5days', 'now-58days', 'now-1day'}"
allDatasets,outOfDate,10,float64,1.279968,set()
allDatasets,summary,171,object,This dataset is a table which has a row of information for each dataset currently active in this ERDDAP.,set()
EMSO_OBSEA_CTD_30min,time (UTC),240640,object,2022-01-01T00:00:00Z,set()
EMSO_OBSEA_CTD_30min,latitude (degrees_north),240640,float64,41.18212,{41.18212}
EMSO_OBSEA_CTD_30min,longitude (degrees_east),240640,float64,1.75257,{1.75257}
EMSO_OBSEA_CTD_30min,depth (m),240640,float64,20.0,{20.0}
EMSO_OBSEA_CTD_30min,sensor_id,240640,object,16P57353-6479,"{'16P57353-6479', '37SMP47472-5496'}"
EMSO_OBSEA_CTD_30min,PSAL (Dimensionless),240501,float64,34.0903,set()
EMSO_OBSEA_CTD_30min,PRES (Decibars),213283,float64,19.236,set()
EMSO_OBSEA_CTD_30min,SVEL (Metres per second),240579,float64,1505.24,set()
EMSO_OBSEA_CTD_30min,CNDC (Siemens per metre),240572,float64,4.1719,set()
EMSO_OBSEA_CTD_30min,TEMP (Degrees Celsius),240592,float64,14.7835,set()
EMSO_OBSEA_CTD_30min,PSAL_QC,240640,int64,3,"{1, 3, 9}"
EMSO_OBSEA_CTD_30min,PRES_QC,240640,int64,1,"{1, 3, 9}"
EMSO_OBSEA_CTD_30min,SVEL_QC,240640,int64,1,"{1, 9}"
EMSO_OBSEA_CTD_30min,CNDC_QC,240640,int64,1,"{1, 3, 9}"
EMSO_OBSEA_CTD_30min,TEMP_QC,240640,int64,1,"{1, 3, 9}"
EMSO_OBSEA_CTD_30min,latitude_QC,240640,int64,7,{7}
EMSO_OBSEA_CTD_30min,longitude_QC,240640,int64,7,{7}
EMSO_OBSEA_CTD_30min,depth_QC,240640,int64,7,{7}
EMSO_OBSEA_Besos_Buoy_Airmar_200WX_30min,time (UTC),1071,object,2023-12-11T01:00:00Z,set()
EMSO_OBSEA_Besos_Buoy_Airmar_200WX_30min,latitude (degrees_north),1071,float64,41.18212,{41.18212}
EMSO_OBSEA_Besos_Buoy_Airmar_200WX_30min,longitude (degrees_east),1071,float64,1.75257,{1.75257}
EMSO_OBSEA_Besos_Buoy_Airmar_200WX_30min,depth (m),1071,float64,0.0,{0.0}
EMSO_OBSEA_Besos_Buoy_Airmar_200WX_30min,CAPH (Hectopascals),1060,float64,1020.3,set()
EMSO_OBSEA_Besos_Buoy_Airmar_200WX_30min,AIRT (Degrees Celsius),1042,float64,14.6,set()
EMSO_OBSEA_Besos_Buoy_Airmar_200WX_30min,WDIR (Degrees),70,float64,268.7,set()
EMSO_OBSEA_Besos_Buoy_Airmar_200WX_30min,WSPD (Metres per second),70,float64,3.4,set()
EMSO_OBSEA_Besos_Buoy_Airmar_200WX_30min,CAPH_QC,1071,int64,1,"{1, 9}"
EMSO_OBSEA_Besos_Buoy_Airmar_200WX_30min,AIRT_QC,1071,int64,1,"{1, 9}"
EMSO_OBSEA_Besos_Buoy_Airmar_200WX_30min,WDIR_QC,1071,int64,1,"{1, 3, 9}"
EMSO_OBSEA_Besos_Buoy_Airmar_200WX_30min,WSPD_QC,1071,int64,1,"{1, 3, 9}"
EMSO_OBSEA_Besos_Buoy_Airmar_200WX_30min,latitude_QC,1071,int64,7,{7}
EMSO_OBSEA_Besos_Buoy_Airmar_200WX_30min,longitude_QC,1071,int64,7,{7}
EMSO_OBSEA_Besos_Buoy_Airmar_200WX_30min,depth_QC,1071,int64,7,{7}
EMSO_OBSEA_Besos_Buoy_Airmar_200WX_full,time (UTC),45138,object,2023-12-11T01:22:17Z,set()
EMSO_OBSEA_Besos_Buoy_Airmar_200WX_full,latitude (degrees_north),45138,float64,41.18212,{41.18212}
EMSO_OBSEA_Besos_Buoy_Airmar_200WX_full,longitude (degrees_east),45138,float64,1.75257,{1.75257}
EMSO_OBSEA_Besos_Buoy_Airmar_200WX_full,depth (m),45138,float64,0.0,{0.0}
EMSO_OBSEA_Besos_Buoy_Airmar_200WX_full,CAPH (Hectopascals),3578,float64,1020.1,set()
EMSO_OBSEA_Besos_Buoy_Airmar_200WX_full,AIRT (Degrees Celsius),2401,float64,14.3,set()
EMSO_OBSEA_Besos_Buoy_Airmar_200WX_full,WDIR (Degrees),38020,float64,261.4,set()
EMSO_OBSEA_Besos_Buoy_Airmar_200WX_full,WSPD (Metres per second),4019,float64,2.4,set()
EMSO_OBSEA_Besos_Buoy_Airmar_200WX_full,CAPH_QC,45138,int64,3,"{1, 3, 4, 9}"
EMSO_OBSEA_Besos_Buoy_Airmar_200WX_full,AIRT_QC,45138,int64,1,"{1, 3, 4, 9}"
EMSO_OBSEA_Besos_Buoy_Airmar_200WX_full,WDIR_QC,45138,int64,9,"{9, 1}"
