DatasetID,Attribute Name,Variable Name,Data Type,Value
BB_505_ADCP,CITATION,NC_GLOBAL,['String'],['https://doi.org/10.5281/zenodo.7311090; https://doi.org/10.5281/zenodo.10604970']
BB_505_ADCP,Conventions,NC_GLOBAL,['String'],"['EMSO OceanSITES v1.4,SeaDataNet_1.0,COARDS,CF-1.6, NCCSV-1.2']"
BB_505_ADCP,_CoordinateAxisType,depth,['String'],['Height']
BB_505_ADCP,_CoordinateAxisType,latitude,['String'],['Lat']
BB_505_ADCP,_CoordinateAxisType,longitude,['String'],['Lon']
BB_505_ADCP,_CoordinateAxisType,time,['String'],['Time']
BB_505_ADCP,_CoordinateZisPositive,depth,['String'],['down']
BB_505_ADCP,actual_range,CurrVel_QC,['byte'],"['1, 9']"
BB_505_ADCP,actual_range,ECHO_QC,['byte'],"['1, 9']"
BB_505_ADCP,actual_range,ECI_B1,['float'],"['0.0, 193.0']"
BB_505_ADCP,actual_range,ECI_B2,['float'],"['0.0, 181.0']"
BB_505_ADCP,actual_range,ECI_B3,['float'],"['0.0, 179.0']"
BB_505_ADCP,actual_range,ECI_B4,['float'],"['0.0, 187.0']"
BB_505_ADCP,actual_range,TEMP,['float'],"['0.0, 29.64']"
BB_505_ADCP,actual_range,TEMP_QC,['byte'],"['1, 9']"
BB_505_ADCP,actual_range,UVEL_ADCP,['float'],"['-1.85, 2.715']"
BB_505_ADCP,actual_range,VVEL_ADCP,['float'],"['-5.842, 2.188']"
BB_505_ADCP,actual_range,WVEL_ADCP,['float'],"['-2.126, 2.24']"
BB_505_ADCP,actual_range,depth,['float'],"['-615.23, -511.18']"
BB_505_ADCP,actual_range,time,['double'],"['1.3310784E9, 1.6961184E9']"
BB_505_ADCP,axis,depth,['String'],['Z']
BB_505_ADCP,axis,latitude,['String'],['Y']
BB_505_ADCP,axis,longitude,['String'],['X']
BB_505_ADCP,axis,time,['String'],['T']
BB_505_ADCP,cdm_data_type,NC_GLOBAL,['String'],['TimeSeries']
BB_505_ADCP,cdm_timeseries_variables,NC_GLOBAL,['String'],"['station_id, longitude, latitude']"
BB_505_ADCP,cf_role,station_id,['String'],['timeseries_id']
BB_505_ADCP,contributor_email,NC_GLOBAL,['String'],['francesco.paladinidemendoza@cnr.it']
BB_505_ADCP,contributor_institution,NC_GLOBAL,['String'],['Institute of Polar Science - CNR']
BB_505_ADCP,contributor_name,NC_GLOBAL,['String'],['francesco.paladinidemendoza@cnr.it']
BB_505_ADCP,conventions,CurrVel_QC,['String'],['SeaDataNet QC Flags']
BB_505_ADCP,conventions,ECHO_QC,['String'],['SeaDataNet QC Flags']
BB_505_ADCP,conventions,TEMP_QC,['String'],['SeaDataNet QC Flags']
BB_505_ADCP,coordinates,ECI_B1,['String'],['TIME DEPTH LATITUDE LONGITUDE']
BB_505_ADCP,coordinates,ECI_B2,['String'],['TIME DEPTH LATITUDE LONGITUDE']
BB_505_ADCP,coordinates,ECI_B3,['String'],['TIME DEPTH LATITUDE LONGITUDE']
BB_505_ADCP,coordinates,ECI_B4,['String'],['TIME DEPTH LATITUDE LONGITUDE']
BB_505_ADCP,coordinates,TEMP,['String'],['TIME LATITUDE LONGITUDE']
BB_505_ADCP,coordinates,UVEL_ADCP,['String'],['TIME DEPTH LATITUDE LONGITUDE']
BB_505_ADCP,coordinates,VVEL_ADCP,['String'],['TIME DEPTH LATITUDE LONGITUDE']
BB_505_ADCP,coordinates,WVEL_ADCP,['String'],['TIME DEPTH LATITUDE LONGITUDE']
BB_505_ADCP,coordinates,station_id,['String'],['TIME DEPTH LATITUDE LONGITUDE']
BB_505_ADCP,coordinates2,ECI_B1,['String'],['TIME DEPTH LATITUDE LONGITUDE']
BB_505_ADCP,coordinates2,ECI_B2,['String'],['TIME DEPTH LATITUDE LONGITUDE']
BB_505_ADCP,coordinates2,ECI_B3,['String'],['TIME DEPTH LATITUDE LONGITUDE']
BB_505_ADCP,coordinates2,ECI_B4,['String'],['TIME DEPTH LATITUDE LONGITUDE']
BB_505_ADCP,coordinates2,TEMP,['String'],['TIME LATITUDE LONGITUDE']
BB_505_ADCP,coordinates2,UVEL_ADCP,['String'],['TIME DEPTH LATITUDE LONGITUDE']
BB_505_ADCP,coordinates2,VVEL_ADCP,['String'],['TIME DEPTH LATITUDE LONGITUDE']
BB_505_ADCP,coordinates2,WVEL_ADCP,['String'],['TIME DEPTH LATITUDE LONGITUDE']
BB_505_ADCP,creator_email,NC_GLOBAL,['String'],['francesco.paladinidemendoza@cnr.it']
BB_505_ADCP,creator_name,NC_GLOBAL,['String'],['Italian National Research Council - Institute of Polar Sciences']
BB_505_ADCP,creator_url,NC_GLOBAL,['String'],['https://www.isp.cnr.it/index.php/en/research/other-activities/adriatic-sea#description-of-southern-adriatic-sea-observing-site']
BB_505_ADCP,date_created,NC_GLOBAL,['String'],['2023-10-30']
BB_505_ADCP,emso_facility,NC_GLOBAL,['String'],['South Adriatic Sea']
BB_505_ADCP,featureType,NC_GLOBAL,['String'],['TimeSeries']
BB_505_ADCP,flag_meanings,CurrVel_QC,['String'],['no_qc_performed good_data probably_good_data bad_data_that_are_potentially_correctable bad_data value_changed nominal_value interpolated_value missing_value']
BB_505_ADCP,flag_meanings,ECHO_QC,['String'],['no_qc_performed good_data probably_good_data bad_data_that_are_potentially_correctable bad_data value_changed nominal_value interpolated_value missing_value']
BB_505_ADCP,flag_meanings,TEMP_QC,['String'],['no_qc_performed good_data probably_good_data bad_data_that_are_potentially_correctable bad_data value_changed nominal_value interpolated_value missing_value']
BB_505_ADCP,flag_values,CurrVel_QC,['String'],"['0,1,2,3,4,5,7,8,9']"
BB_505_ADCP,flag_values,ECHO_QC,['String'],"['0,1,2,3,4,5,7,8,9']"
BB_505_ADCP,flag_values,TEMP_QC,['String'],"['0,1,2,3,4,5,7,8,9']"
BB_505_ADCP,geospatial_lat_max,NC_GLOBAL,['String'],['41.3413']
BB_505_ADCP,geospatial_lat_min,NC_GLOBAL,['String'],['41.3413']
BB_505_ADCP,geospatial_lat_units,NC_GLOBAL,['String'],['degrees_north']
BB_505_ADCP,geospatial_lon_max,NC_GLOBAL,['String'],['17.193517']
BB_505_ADCP,geospatial_lon_min,NC_GLOBAL,['String'],['17.193517']
BB_505_ADCP,geospatial_lon_units,NC_GLOBAL,['String'],['degrees_east']
BB_505_ADCP,geospatial_vertical_max,NC_GLOBAL,['double'],['-511.18']
BB_505_ADCP,geospatial_vertical_min,NC_GLOBAL,['double'],['-615.23']
BB_505_ADCP,geospatial_vertical_positive,NC_GLOBAL,['String'],['down']
BB_505_ADCP,geospatial_vertical_units,NC_GLOBAL,['String'],['m']
BB_505_ADCP,history,NC_GLOBAL,['String'],['moorings activities in the South Adriatic Sea since 2010']
BB_505_ADCP,infoUrl,NC_GLOBAL,['String'],['https://www.isp.cnr.it/index.php/en/research/other-activities/adriatic-sea#description-of-southern-adriatic-sea-observing-site']
BB_505_ADCP,institution,NC_GLOBAL,['String'],"['CNR, National Research Council, Institute of Polar Science (CNR - ISP)']"
BB_505_ADCP,institution_edmo_code,NC_GLOBAL,['String'],['6075']
BB_505_ADCP,institution_edmo_uri,NC_GLOBAL,['String'],['https://edmo.seadatanet.org/report/6075']
BB_505_ADCP,ioos_category,depth,['String'],['Location']
BB_505_ADCP,ioos_category,latitude,['String'],['Location']
BB_505_ADCP,ioos_category,longitude,['String'],['Location']
BB_505_ADCP,ioos_category,time,['String'],['Time']
BB_505_ADCP,keywords,NC_GLOBAL,['String'],['SeaDataNet Parameter Discovery Vocabulary']
BB_505_ADCP,keywords_vocabulary,NC_GLOBAL,['String'],['https://vocab.nerc.ac.uk/collection/']
BB_505_ADCP,license,NC_GLOBAL,['String'],['CC-BY-4.0']
BB_505_ADCP,license_uri,NC_GLOBAL,['String'],['https://spdx.org/licenses/CC-BY-4.0']
BB_505_ADCP,long_name,CurrVel_QC,['String'],['Quality Control Flag of Current Velocity in the water column']
BB_505_ADCP,long_name,ECHO_QC,['String'],['Quality Control Flag of Echo Intensity Signal in the water column']
BB_505_ADCP,long_name,ECI_B1,['String'],['Acoustic backscatter in the water column']
BB_505_ADCP,long_name,ECI_B2,['String'],['Acoustic backscatter in the water column']
BB_505_ADCP,long_name,ECI_B3,['String'],['Acoustic backscatter in the water column']
BB_505_ADCP,long_name,ECI_B4,['String'],['Acoustic backscatter in the water column']
BB_505_ADCP,long_name,TEMP,['String'],['Temperature of the sea-water']
BB_505_ADCP,long_name,TEMP_QC,['String'],['quality control flag of sea-water_temperature']
BB_505_ADCP,long_name,UVEL_ADCP,['String'],['Horizontal velocity of the water column (currents)']
BB_505_ADCP,long_name,VVEL_ADCP,['String'],['Horizontal velocity of the water column (currents)']
BB_505_ADCP,long_name,WVEL_ADCP,['String'],['Vertical velocity of the water column (currents)']
BB_505_ADCP,long_name,depth,['String'],['Depth of each measurement']
BB_505_ADCP,long_name,latitude,['String'],['latitude position of the station']
BB_505_ADCP,long_name,longitude,['String'],['longitude position of the station']
BB_505_ADCP,long_name,station_id,['String'],['Id of the station in the TimeSeries']
BB_505_ADCP,long_name,time,['String'],['time of measurement']
BB_505_ADCP,network,NC_GLOBAL,['String'],['EMSO-Italia']
BB_505_ADCP,positive,depth,['String'],['down']
BB_505_ADCP,principal_investigator,NC_GLOBAL,['String'],['Stefano Miserocchi']
BB_505_ADCP,principal_investigator_email,NC_GLOBAL,['String'],['stefano.miserocchi@cnr.it']
BB_505_ADCP,sdn_parameter_name,ECI_B1,['String'],['Echo intensity of acoustic signal returns from the water body by moored acoustic doppler current profiler (ADCP) beam 1']
BB_505_ADCP,sdn_parameter_name,ECI_B2,['String'],['Echo intensity of acoustic signal returns from the water body by moored acoustic doppler current profiler (ADCP) beam 2']
BB_505_ADCP,sdn_parameter_name,ECI_B3,['String'],['Echo intensity of acoustic signal returns from the water body by moored acoustic doppler current profiler (ADCP) beam 3']
BB_505_ADCP,sdn_parameter_name,ECI_B4,['String'],['Echo intensity of acoustic signal returns from the water body by moored acoustic doppler current profiler (ADCP) beam 4']
BB_505_ADCP,sdn_parameter_name,TEMP,['String'],['Temperature of the water body by CTD or STD']
BB_505_ADCP,sdn_parameter_name,UVEL_ADCP,['String'],['Eastward velocity of water current (Eulerian measurement) in the water body by moored acoustic doppler current profiler (ADCP)']
BB_505_ADCP,sdn_parameter_name,VVEL_ADCP,['String'],['Northward velocity of water current (Eulerian measurement) in the water body by moored acoustic doppler current profiler (ADCP)']
BB_505_ADCP,sdn_parameter_name,WVEL_ADCP,['String'],['Upward velocity of water current in the water body by moored acoustic doppler current profiler (ADCP)']
BB_505_ADCP,sdn_parameter_name,depth,['String'],['Depth (spatial coordinate) relative to water surface in the water body']
BB_505_ADCP,sdn_parameter_name,latitude,['String'],['Latitude north']
BB_505_ADCP,sdn_parameter_name,longitude,['String'],['Longitude east']
BB_505_ADCP,sdn_parameter_name,station_id,['String'],['Speed of water current (Eulerian measurement) in the water body by autonomous platform acoustic doppler current profiler (ADCP)']
BB_505_ADCP,sdn_parameter_name,time,['String'],['Elapsed time relative to 1950-01-01T00:00:00Z']
BB_505_ADCP,sdn_parameter_uri,ECI_B1,['String'],['https://vocab.nerc.ac.uk/collection/P01/current/TNIHCE01/']
BB_505_ADCP,sdn_parameter_uri,ECI_B2,['String'],['https://vocab.nerc.ac.uk/collection/P01/current/TNIHCE02/']
BB_505_ADCP,sdn_parameter_uri,ECI_B3,['String'],['https://vocab.nerc.ac.uk/collection/P01/current/TNIHCE03/']
BB_505_ADCP,sdn_parameter_uri,ECI_B4,['String'],['https://vocab.nerc.ac.uk/collection/P01/current/TNIHCE04/']
BB_505_ADCP,sdn_parameter_uri,TEMP,['String'],['https://vocab.nerc.ac.uk/collection/P01/current/TEMPST01/']
BB_505_ADCP,sdn_parameter_uri,UVEL_ADCP,['String'],['https://vocab.nerc.ac.uk/collection/P01/current/LCEWAP01/']
BB_505_ADCP,sdn_parameter_uri,VVEL_ADCP,['String'],['https://vocab.nerc.ac.uk/collection/P01/current/LCNSAP01/']
BB_505_ADCP,sdn_parameter_uri,WVEL_ADCP,['String'],['https://vocab.nerc.ac.uk/collection/P01/current/LRZAAP01/']
BB_505_ADCP,sdn_parameter_uri,depth,['String'],['https://vocab.nerc.ac.uk/collection/P01/current/ADEPZZ01']
BB_505_ADCP,sdn_parameter_uri,time,['String'],['https://vocab.nerc.ac.uk/collection/P01/current/ELTJLD01/']
BB_505_ADCP,sdn_parameter_urn,ECI_B1,['String'],['SDN:P01::TNIHCE01']
BB_505_ADCP,sdn_parameter_urn,ECI_B2,['String'],['SDN:P01::TNIHCE02']
BB_505_ADCP,sdn_parameter_urn,ECI_B3,['String'],['SDN:P01::TNIHCE03']
BB_505_ADCP,sdn_parameter_urn,ECI_B4,['String'],['SDN:P01::TNIHCE04']
BB_505_ADCP,sdn_parameter_urn,TEMP,['String'],['SDN:P01::TEMPST01']
BB_505_ADCP,sdn_parameter_urn,UVEL_ADCP,['String'],['SDN:P01::LCEWAP01']
BB_505_ADCP,sdn_parameter_urn,VVEL_ADCP,['String'],['SDN:P01::LCNSAP01']
BB_505_ADCP,sdn_parameter_urn,WVEL_ADCP,['String'],['SDN:P01::LRZAAP01']
BB_505_ADCP,sdn_parameter_urn,depth,['String'],['SDN:P01::ADEPZZ01']
BB_505_ADCP,sdn_parameter_urn,latitude,['String'],['SDN:P01::ALATZZ01']
BB_505_ADCP,sdn_parameter_urn,longitude,['String'],['SDN:P01::ALONZZ01']
BB_505_ADCP,sdn_parameter_urn,station_id,['String'],['SDN:P01::LCSAAA01']
BB_505_ADCP,sdn_parameter_urn,time,['String'],['SDN:P01::ELTJLD01']
BB_505_ADCP,sdn_uom_name,ECI_B1,['String'],['Counts']
BB_505_ADCP,sdn_uom_name,ECI_B2,['String'],['Counts']
BB_505_ADCP,sdn_uom_name,ECI_B3,['String'],['Counts']
BB_505_ADCP,sdn_uom_name,ECI_B4,['String'],['Counts']
BB_505_ADCP,sdn_uom_name,TEMP,['String'],['Degrees Celsius']
BB_505_ADCP,sdn_uom_name,UVEL_ADCP,['String'],['Metres per second']
BB_505_ADCP,sdn_uom_name,VVEL_ADCP,['String'],['Metres per second']
BB_505_ADCP,sdn_uom_name,WVEL_ADCP,['String'],['Metres per second']
BB_505_ADCP,sdn_uom_name,depth,['String'],['Metres']
BB_505_ADCP,sdn_uom_name,latitude,['String'],['Degrees north']
BB_505_ADCP,sdn_uom_name,longitude,['String'],['Degrees east']
BB_505_ADCP,sdn_uom_name,station_id,['String'],['Metres per second']
BB_505_ADCP,sdn_uom_name,time,['String'],['days']
BB_505_ADCP,sdn_uom_uri,ECI_B1,['String'],['https://vocab.nerc.ac.uk/collection/P06/current/UCNT/']
BB_505_ADCP,sdn_uom_uri,ECI_B2,['String'],['https://vocab.nerc.ac.uk/collection/P06/current/UCNT/']
BB_505_ADCP,sdn_uom_uri,ECI_B3,['String'],['https://vocab.nerc.ac.uk/collection/P06/current/UCNT/']
BB_505_ADCP,sdn_uom_uri,ECI_B4,['String'],['https://vocab.nerc.ac.uk/collection/P06/current/UCNT/']
BB_505_ADCP,sdn_uom_uri,TEMP,['String'],['https://vocab.nerc.ac.uk/collection/P06/current/UPAA/']
BB_505_ADCP,sdn_uom_uri,UVEL_ADCP,['String'],['https://vocab.nerc.ac.uk/collection/P06/current/UVAA/']
BB_505_ADCP,sdn_uom_uri,VVEL_ADCP,['String'],['https://vocab.nerc.ac.uk/collection/P06/current/UVAA/']
BB_505_ADCP,sdn_uom_uri,WVEL_ADCP,['String'],['https://vocab.nerc.ac.uk/collection/P06/current/UVAA/']
BB_505_ADCP,sdn_uom_uri,depth,['String'],['https://vocab.nerc.ac.uk/collection/P06/current/ULAA']
BB_505_ADCP,sdn_uom_uri,time,['String'],['https://vocab.nerc.ac.uk/collection/P06/current/UTAA/']
BB_505_ADCP,sdn_uom_urn,ECI_B1,['String'],['SDN:P06::UCNT']
BB_505_ADCP,sdn_uom_urn,ECI_B2,['String'],['SDN:P06::UCNT']
BB_505_ADCP,sdn_uom_urn,ECI_B3,['String'],['SDN:P06::UCNT']
