DatasetID,Variable Name,Data Type,Value
Canary_Islands_OS_ESTOC_201510_D_CTD-FixO3-100m,depth,['float'],"['nValues=1, onlyValue=100.0']"
Canary_Islands_OS_ESTOC_201510_D_CTD-FixO3-100m,time,['double'],"['nValues=21878, evenlySpaced=false, averageSpacing=15m 0s']"
OS_ESTOC-1_200311_D_CTD_ANIMATE-10m,depth,['float'],"['nValues=1, onlyValue=10.0']"
OS_ESTOC-1_200311_D_CTD_ANIMATE-10m,time,['double'],"['nValues=4148, evenlySpaced=true, averageSpacing=1h 0m 0s']"
OS_ESTOC-1_200412_P_CTD_ANIMATE-MultipleDepths,depth,['float'],"['nValues=6, evenlySpaced=false, averageSpacing=28.0']"
OS_ESTOC-1_200412_P_CTD_ANIMATE-MultipleDepths,time,['double'],"['nValues=8040, evenlySpaced=false, averageSpacing=15m 0s']"
OS_ESTOC-1_200503_P_CTD_ANIMATE-MultipleDepths,depth,['float'],"['nValues=5, evenlySpaced=false, averageSpacing=35.0']"
OS_ESTOC-1_200503_P_CTD_ANIMATE-MultipleDepths,time,['double'],"['nValues=35887, evenlySpaced=false, averageSpacing=10m 0s']"
OS_ESTOC-1_200511_P_CTD_ANIMATE-MultipleDepths,depth,['float'],"['nValues=7, evenlySpaced=false, averageSpacing=28.666666666666668']"
OS_ESTOC-1_200511_P_CTD_ANIMATE-MultipleDepths,time,['double'],"['nValues=13801, evenlySpaced=false, averageSpacing=10m 0s']"
OS_ESTOC-1_200603_P_CTD_ANIMATE-MultipleDepths,depth,['float'],"['nValues=7, evenlySpaced=false, averageSpacing=28.166666666666668']"
OS_ESTOC-1_200603_P_CTD_ANIMATE-MultipleDepths,time,['double'],"['nValues=34663, evenlySpaced=false, averageSpacing=10m 0s']"
OS_ESTOC-1_200611_P_CTD_ANIMATE-MultipleDepths,depth,['float'],"['nValues=7, evenlySpaced=false, averageSpacing=28.166666666666668']"
OS_ESTOC-1_200611_P_CTD_ANIMATE-MultipleDepths,time,['double'],"['nValues=20113, evenlySpaced=false, averageSpacing=10m 0s']"
OS_ESTOC-1_200703_P_CTD_ANIMATE-MultipleDepths,depth,['float'],"['nValues=7, evenlySpaced=false, averageSpacing=28.166666666666668']"
OS_ESTOC-1_200703_P_CTD_ANIMATE-MultipleDepths,time,['double'],"['nValues=6549, evenlySpaced=false, averageSpacing=10m 0s']"
OS_ESTOC-1_200711_P_CTD_ANIMATE-MultipleDepths,depth,['float'],"['nValues=6, evenlySpaced=false, averageSpacing=34.2']"
OS_ESTOC-1_200711_P_CTD_ANIMATE-MultipleDepths,time,['double'],"['nValues=23149, evenlySpaced=false, averageSpacing=10m 0s']"
OS_ESTOC-1_200901_D_CTD,depth,['float'],"['nValues=1, onlyValue=3670.0']"
OS_ESTOC-1_200901_D_CTD,time,['double'],"['nValues=14244, evenlySpaced=false, averageSpacing=29m 9s']"
OS_ESTOC-1_200901_D_CTD-DO,depth,['float'],"['nValues=1, onlyValue=3670.0']"
OS_ESTOC-1_200901_D_CTD-DO,time,['double'],"['nValues=27923, evenlySpaced=false, averageSpacing=14m 52s']"
