DatasetID,Variable Name,Data Type,Value
BB_505_ADCP,CurrVelE_ADCP,['double'],[nan]
BB_505_ADCP,CurrVelN_ADCP,['double'],[nan]
BB_505_ADCP,CurrVelUp_ADCP,['double'],[nan]
BB_505_ADCP,CurrVel_QC,['byte'],[nan]
BB_505_ADCP,ECHO_BEAM_1,['double'],[nan]
BB_505_ADCP,ECHO_BEAM_2,['double'],[nan]
BB_505_ADCP,ECHO_BEAM_3,['double'],[nan]
BB_505_ADCP,ECHO_BEAM_4,['double'],[nan]
BB_505_ADCP,ECHO_QC,['byte'],[nan]
BB_505_ADCP,TEMP,['double'],[nan]
BB_505_ADCP,TEMP_QC,['byte'],[nan]
BB_505_ADCP,depth,['double'],[nan]
BB_505_ADCP,latitude,['float'],[nan]
BB_505_ADCP,longitude,['float'],[nan]
BB_505_ADCP,station_id,['String'],[nan]
BB_505_ADCP,time,['double'],[nan]
BB_567_SBE56,TEMP,['double'],[nan]
BB_567_SBE56,TEMP_QC,['byte'],[nan]
BB_567_SBE56,depth,['double'],[nan]
BB_567_SBE56,latitude,['double'],[nan]
BB_567_SBE56,longitude,['double'],[nan]
BB_567_SBE56,station_id,['String'],[nan]
BB_567_SBE56,time,['double'],[nan]
BB_584_SBE56,TEMP,['double'],[nan]
BB_584_SBE56,TEMP_QC,['byte'],[nan]
BB_584_SBE56,depth,['double'],[nan]
BB_584_SBE56,latitude,['double'],[nan]
BB_584_SBE56,longitude,['double'],[nan]
BB_584_SBE56,station_id,['String'],[nan]
BB_584_SBE56,time,['double'],[nan]
BB_591_SBE56,TEMP,['double'],[nan]
BB_591_SBE56,TEMP_QC,['byte'],[nan]
BB_591_SBE56,depth,['double'],[nan]
BB_591_SBE56,latitude,['double'],[nan]
BB_591_SBE56,longitude,['double'],[nan]
BB_591_SBE56,station_id,['String'],[nan]
BB_591_SBE56,time,['double'],[nan]
BB_595_CTD,DOXY,['double'],[nan]
BB_595_CTD,DOXY_QC,['byte'],[nan]
BB_595_CTD,PSAL,['double'],[nan]
BB_595_CTD,PSAL_QC,['byte'],[nan]
BB_595_CTD,PTEMP,['double'],[nan]
BB_595_CTD,PTEMP_QC,['byte'],[nan]
BB_595_CTD,SIGT,['double'],[nan]
BB_595_CTD,SIGT_QC,['byte'],[nan]
BB_595_CTD,TEMP,['double'],[nan]
BB_595_CTD,TEMP_QC,['byte'],[nan]
BB_595_CTD,TURB,['double'],[nan]
BB_595_CTD,TURB_QC,['byte'],[nan]
BB_595_CTD,depth,['double'],[nan]
BB_595_CTD,latitude,['float'],[nan]
BB_595_CTD,longitude,['float'],[nan]
BB_595_CTD,sea_water_pressure,['double'],[nan]
BB_595_CTD,sea_water_pressure_QC,['byte'],[nan]
BB_595_CTD,station_id,['String'],[nan]
BB_595_CTD,time,['double'],[nan]
E1M3A_20070528_20080226,ATMS,['float'],[nan]
E1M3A_20070528_20080226,ATMS_QC,['byte'],[nan]
E1M3A_20070528_20080226,DEPTH_QC,['byte'],[nan]
E1M3A_20070528_20080226,DOX1,['float'],[nan]
E1M3A_20070528_20080226,DOX1_QC,['byte'],[nan]
E1M3A_20070528_20080226,DRYT,['float'],[nan]
E1M3A_20070528_20080226,DRYT_QC,['byte'],[nan]
E1M3A_20070528_20080226,FLU2,['float'],[nan]
E1M3A_20070528_20080226,FLU2_QC,['byte'],[nan]
