datasetID,dimensions
EMSO_OBSEA_CTD_30min,row
EMSO_OBSEA_CTD_30min,sensor_id_strlen
EMSO_OBSEA_Besos_Buoy_Airmar_200WX_30min,row
EMSO_OBSEA_Besos_Buoy_Airmar_200WX_full,row
E2M3A_METEO,timeseries
E2M3A_METEO,obs
E2M3A_MRDT,timeseries
E2M3A_MRDT,obs
E2M3A_PCO2PROA,timeseries
E2M3A_PCO2PROA,obs
E2M3A_PCO2PROW,timeseries
E2M3A_PCO2PROW,obs
E2M3A_SAMI,timeseries
E2M3A_SAMI,obs
E2M3A_SBE16PLS,timeseries
E2M3A_SBE16PLS,obs
E2M3A_SBE37O,timeseries
E2M3A_SBE37O,obs
E2M3A_CTD_meteo_CO2_pH_NRT,timeseries
E2M3A_CTD_meteo_CO2_pH_NRT,obs
E2M3A_2021_2022_TS,timeseries
E2M3A_2021_2022_TS,obs
Emso_Azores_Chemini_IRON,timeseries
Emso_Azores_Chemini_IRON,obs
Emso_Azores_Chemini_IRON,platform_code_strlen
Emso_Azores_Chemini_IRON,platform_name_strlen
EMSO-AZORES_TCM3-1_2016-2017,timeseries
EMSO-AZORES_TCM3-1_2016-2017,obs
EMSO-AZORES_TCM3-1_2017-2018,timeseries
EMSO-AZORES_TCM3-1_2017-2018,obs
EMSO-AZORES_TCM3-1_2018-2019,timeseries
EMSO-AZORES_TCM3-1_2018-2019,obs
EMSO-AZORES_TCM3-1_2021-2022,timeseries
EMSO-AZORES_TCM3-1_2021-2022,obs
EMSO-AZORES_TCM3-2_2017-2018,timeseries
EMSO-AZORES_TCM3-2_2017-2018,obs
EMSO-AZORES_TCM3-2_2018-2019,timeseries
EMSO-AZORES_TCM3-2_2018-2019,obs
EMSO-AZORES_TCM3-2_2019-2020,timeseries
EMSO-AZORES_TCM3-2_2019-2020,obs
EMSO-AZORES_TCM3-2_2020-2021,timeseries
EMSO-AZORES_TCM3-2_2020-2021,obs
EMSO-AZORES_TCM3-3_2016-2017,timeseries
EMSO-AZORES_TCM3-3_2016-2017,obs
EMSO-AZORES_TCM3-3_2017-2018,timeseries
EMSO-AZORES_TCM3-3_2017-2018,obs
EMSO-AZORES_TCM3-3_2018-2019,timeseries
EMSO-AZORES_TCM3-3_2018-2019,obs
EMSO-AZORES_TCM3-3_2019-2020,timeseries
EMSO-AZORES_TCM3-3_2019-2020,obs
EMSO-AZORES_TCM3-3_2020-2021,timeseries
EMSO-AZORES_TCM3-3_2020-2021,obs
EMSO-AZORES_TCM3-3_2021-2022,timeseries
EMSO-AZORES_TCM3-3_2021-2022,obs
EMSO-AZORES_TCM3-A_2020-2021,timeseries
EMSO-AZORES_TCM3-A_2020-2021,obs
EMSO-AZORES_TCM3-B_2020-2021,timeseries
EMSO-AZORES_TCM3-B_2020-2021,obs
EMSO-AZORES_TCM3-B_2021-2022,timeseries
EMSO-AZORES_TCM3-B_2021-2022,obs
EMSO-AZORES_TCM3-C_2020-2021,timeseries
EMSO-AZORES_TCM3-C_2020-2021,obs
EMSO-AZORES_TCM3-C_2021-2022,timeseries
EMSO-AZORES_TCM3-C_2021-2022,obs
EMSO-AZORES_TCM3-D_2020-2021,timeseries
EMSO-AZORES_TCM3-D_2020-2021,obs
EMSO-AZORES_TCM3-D_2021-2022,timeseries
EMSO-AZORES_TCM3-D_2021-2022,obs
BB_505_ADCP,timeseries
BB_505_ADCP,obs
BB_505_ADCP,station_id_strlen
BB_567_SBE56,timeseries
BB_567_SBE56,obs
BB_567_SBE56,station_id_strlen
BB_584_SBE56,timeseries
BB_584_SBE56,obs
BB_584_SBE56,station_id_strlen
BB_591_SBE56,timeseries
BB_591_SBE56,obs
BB_591_SBE56,station_id_strlen
BB_595_CTD,timeseries
BB_595_CTD,obs
BB_595_CTD,station_id_strlen
FF_644_ADCP,timeseries
FF_644_ADCP,obs
FF_644_ADCP,station_id_strlen
FF_700_SBE56,timeseries
FF_700_SBE56,obs
FF_700_SBE56,station_id_strlen
FF_717_SBE56,timeseries
FF_717_SBE56,obs
FF_717_SBE56,station_id_strlen
FF_734_CTD,timeseries
FF_734_CTD,obs
FF_734_CTD,station_id_strlen
Emso_Ligure_Dyfamed_FCO2TW,timeseries
Emso_Ligure_Dyfamed_FCO2TW,obs
Emso_Ligure_Dyfamed_FCO2TW,DC_REFERENCE_strlen
Emso_Ligure_Dyfamed_TSCTD,timeseries
Emso_Ligure_Dyfamed_TSCTD,obs
Emso_Ligure_Dyfamed_TScurrents,timeseries
Emso_Ligure_Dyfamed_TScurrents,obs
Emso_Ligure_Dyfamed_SedimentTrap,timeseries
Emso_Ligure_Dyfamed_SedimentTrap,obs
Emso_Ligure_Dyfamed_TSO2,row
Emso_Ligure_Dyfamed_TSOF,timeseries
Emso_Ligure_Dyfamed_TSOF,obs
Emso_Western_Ligurian_Albatross_Aquadopp_NetCDF_2014,timeseries
