datasetID,accessible,institution,dataStructure,cdm_data_type,class,title,minLongitude (degrees_east),maxLongitude (degrees_east),longitudeSpacing (degrees_east),minLatitude (degrees_north),maxLatitude (degrees_north),latitudeSpacing (degrees_north),minAltitude (m),maxAltitude (m),minTime (UTC),maxTime (UTC),timeSpacing (seconds),griddap,subset,tabledap,MakeAGraph,sos,wcs,wms,files,fgdc,iso19115,metadata,sourceUrl,infoUrl,rss,email,testOutOfDate,outOfDate,summary
allDatasets,public,Axiom Docker Install,table,Other,EDDTableFromAllDatasets,* The List of All Active Datasets in this ERDDAP *,,,,,,,,,,,,,https://erddap.emso.eu/erddap/tabledap/allDatasets.subset,https://erddap.emso.eu/erddap/tabledap/allDatasets,https://erddap.emso.eu/erddap/tabledap/allDatasets.graph,,,,,,,https://erddap.emso.eu/erddap/info/allDatasets/index,https://localhost:8443/erddap,https://erddap.emso.eu/erddap,https://erddap.emso.eu/erddap/rss/allDatasets.rss,https://erddap.emso.eu/erddap/subscriptions/add.html?datasetID=allDatasets&showErrors=false&email=,,,This dataset is a table which has a row of information for each dataset currently active in this ERDDAP.
EMSO_OBSEA_CTD_30min,public,Polytechnic University of Catalonia,table,Point,EDDTableFromErddap,CTD data at OBSEA Underwater Observatory 30 min average,1.75257,1.75257,,41.18212,41.18212,,-20.0,-20.0,2010-03-12T09:30:00Z,2022-12-31T23:30:00Z,,,https://erddap.emso.eu/erddap/tabledap/EMSO_OBSEA_CTD_30min.subset,https://erddap.emso.eu/erddap/tabledap/EMSO_OBSEA_CTD_30min,https://erddap.emso.eu/erddap/tabledap/EMSO_OBSEA_CTD_30min.graph,,,,,https://erddap.emso.eu/erddap/metadata/fgdc/xml/EMSO_OBSEA_CTD_30min_fgdc.xml,https://erddap.emso.eu/erddap/metadata/iso19115/xml/EMSO_OBSEA_CTD_30min_iso19115.xml,https://erddap.emso.eu/erddap/info/EMSO_OBSEA_CTD_30min/index,(local files),https://edmo.seadatanet.org/report/2150,https://erddap.emso.eu/erddap/rss/EMSO_OBSEA_CTD_30min.rss,https://erddap.emso.eu/erddap/subscriptions/add.html?datasetID=EMSO_OBSEA_CTD_30min&showErrors=false&email=,,,CTD data measured at OBSEA underwater observatory
EMSO_OBSEA_Besos_Buoy_Airmar_200WX_30min,public,Polytechnic University of Catalonia,table,Point,EDDTableFromErddap,"Data from Airmar 200 WX weather station deployed at OBSEA's Besos Buoy, averaged every 30 minutes",1.75257,1.75257,,41.18212,41.18212,,-0.0,-0.0,2023-12-11T01:00:00Z,2024-04-23T10:30:00Z,,,https://erddap.emso.eu/erddap/tabledap/EMSO_OBSEA_Besos_Buoy_Airmar_200WX_30min.subset,https://erddap.emso.eu/erddap/tabledap/EMSO_OBSEA_Besos_Buoy_Airmar_200WX_30min,https://erddap.emso.eu/erddap/tabledap/EMSO_OBSEA_Besos_Buoy_Airmar_200WX_30min.graph,,,,,https://erddap.emso.eu/erddap/metadata/fgdc/xml/EMSO_OBSEA_Besos_Buoy_Airmar_200WX_30min_fgdc.xml,https://erddap.emso.eu/erddap/metadata/iso19115/xml/EMSO_OBSEA_Besos_Buoy_Airmar_200WX_30min_iso19115.xml,https://erddap.emso.eu/erddap/info/EMSO_OBSEA_Besos_Buoy_Airmar_200WX_30min/index,(local files),https://edmo.seadatanet.org/report/2150,https://erddap.emso.eu/erddap/rss/EMSO_OBSEA_Besos_Buoy_Airmar_200WX_30min.rss,https://erddap.emso.eu/erddap/subscriptions/add.html?datasetID=EMSO_OBSEA_Besos_Buoy_Airmar_200WX_30min&showErrors=false&email=,,,"Weather station from  an Airmar 200WX deployed at OBSEA's Besos Buoy, NW mediterranean sea"
EMSO_OBSEA_Besos_Buoy_Airmar_200WX_full,public,Polytechnic University of Catalonia,table,Point,EDDTableFromErddap,"Data from Airmar 200 WX weather station deployed at OBSEA's Besos Buoy, full dataset",1.75257,1.75257,,41.18212,41.18212,,-0.0,-0.0,2023-12-11T01:22:17Z,2024-04-23T10:42:22Z,,,https://erddap.emso.eu/erddap/tabledap/EMSO_OBSEA_Besos_Buoy_Airmar_200WX_full.subset,https://erddap.emso.eu/erddap/tabledap/EMSO_OBSEA_Besos_Buoy_Airmar_200WX_full,https://erddap.emso.eu/erddap/tabledap/EMSO_OBSEA_Besos_Buoy_Airmar_200WX_full.graph,,,,,https://erddap.emso.eu/erddap/metadata/fgdc/xml/EMSO_OBSEA_Besos_Buoy_Airmar_200WX_full_fgdc.xml,https://erddap.emso.eu/erddap/metadata/iso19115/xml/EMSO_OBSEA_Besos_Buoy_Airmar_200WX_full_iso19115.xml,https://erddap.emso.eu/erddap/info/EMSO_OBSEA_Besos_Buoy_Airmar_200WX_full/index,(local files),https://edmo.seadatanet.org/report/2150,https://erddap.emso.eu/erddap/rss/EMSO_OBSEA_Besos_Buoy_Airmar_200WX_full.rss,https://erddap.emso.eu/erddap/subscriptions/add.html?datasetID=EMSO_OBSEA_Besos_Buoy_Airmar_200WX_full&showErrors=false&email=,,,"Weather station from  an Airmar 200WX deployed at OBSEA's Besos Buoy, NW mediterranean sea full sensor data"
E2M3A_METEO,public,"National Institute of Oceanography and Applied Geophysics - OGS, Division of Oceanography",table,TimeSeries,EDDTableFromErddap,"E2M3A METEO timeSeries, NRT in situ Observations",18.0824167,18.0824167,,41.5277,41.5277,,5.0,-1185.0,2024-01-01T00:00:00Z,,,,,https://erddap.emso.eu/erddap/tabledap/E2M3A_METEO,https://erddap.emso.eu/erddap/tabledap/E2M3A_METEO.graph,,,,,https://erddap.emso.eu/erddap/metadata/fgdc/xml/E2M3A_METEO_fgdc.xml,https://erddap.emso.eu/erddap/metadata/iso19115/xml/E2M3A_METEO_iso19115.xml,https://erddap.emso.eu/erddap/info/E2M3A_METEO/index,(source database),https://nodc.ogs.it,https://erddap.emso.eu/erddap/rss/E2M3A_METEO.rss,https://erddap.emso.eu/erddap/subscriptions/add.html?datasetID=E2M3A_METEO&showErrors=false&email=,,,"E2M3A METEO timeSeries, NRT in situ Observations"
E2M3A_MRDT,public,"National Institute of Oceanography and Applied Geophysics - OGS, Division of Oceanography",table,TimeSeries,EDDTableFromErddap,"E2M3A MRDT timeSeries, NRT in situ Observations",18.0824167,18.0824167,,41.5277,41.5277,,5.0,-1185.0,2024-01-01T00:00:00Z,,,,,https://erddap.emso.eu/erddap/tabledap/E2M3A_MRDT,https://erddap.emso.eu/erddap/tabledap/E2M3A_MRDT.graph,,,,,https://erddap.emso.eu/erddap/metadata/fgdc/xml/E2M3A_MRDT_fgdc.xml,https://erddap.emso.eu/erddap/metadata/iso19115/xml/E2M3A_MRDT_iso19115.xml,https://erddap.emso.eu/erddap/info/E2M3A_MRDT/index,(source database),https://nodc.ogs.it,https://erddap.emso.eu/erddap/rss/E2M3A_MRDT.rss,https://erddap.emso.eu/erddap/subscriptions/add.html?datasetID=E2M3A_MRDT&showErrors=false&email=,,,"E2M3A MRDT timeSeries, NRT in situ Observations"
E2M3A_PCO2PROA,public,"National Institute of Oceanography and Applied Geophysics - OGS, Division of Oceanography",table,TimeSeries,EDDTableFromErddap,"E2M3A PCO2PROA timeSeries, NRT in situ Observations",18.0824167,18.0824167,,41.5277,41.5277,,5.0,-1185.0,2021-01-01T00:00:00Z,,,,,https://erddap.emso.eu/erddap/tabledap/E2M3A_PCO2PROA,https://erddap.emso.eu/erddap/tabledap/E2M3A_PCO2PROA.graph,,,,,https://erddap.emso.eu/erddap/metadata/fgdc/xml/E2M3A_PCO2PROA_fgdc.xml,https://erddap.emso.eu/erddap/metadata/iso19115/xml/E2M3A_PCO2PROA_iso19115.xml,https://erddap.emso.eu/erddap/info/E2M3A_PCO2PROA/index,(source database),https://nodc.ogs.it,https://erddap.emso.eu/erddap/rss/E2M3A_PCO2PROA.rss,https://erddap.emso.eu/erddap/subscriptions/add.html?datasetID=E2M3A_PCO2PROA&showErrors=false&email=,,,"E2M3A PCO2PROA timeSeries, NRT in situ Observations"
E2M3A_PCO2PROW,public,"National Institute of Oceanography and Applied Geophysics - OGS, Division of Oceanography",table,TimeSeries,EDDTableFromErddap,"E2M3A PCO2PROW timeSeries, NRT in situ Observations",18.0824167,18.0824167,,41.5277,41.5277,,5.0,-1185.0,2021-01-01T00:00:00Z,,,,,https://erddap.emso.eu/erddap/tabledap/E2M3A_PCO2PROW,https://erddap.emso.eu/erddap/tabledap/E2M3A_PCO2PROW.graph,,,,,https://erddap.emso.eu/erddap/metadata/fgdc/xml/E2M3A_PCO2PROW_fgdc.xml,https://erddap.emso.eu/erddap/metadata/iso19115/xml/E2M3A_PCO2PROW_iso19115.xml,https://erddap.emso.eu/erddap/info/E2M3A_PCO2PROW/index,(source database),https://nodc.ogs.it,https://erddap.emso.eu/erddap/rss/E2M3A_PCO2PROW.rss,https://erddap.emso.eu/erddap/subscriptions/add.html?datasetID=E2M3A_PCO2PROW&showErrors=false&email=,,,"E2M3A PCO2PROW timeSeries, NRT in situ Observations"
E2M3A_SAMI,public,"National Institute of Oceanography and Applied Geophysics - OGS, Division of Oceanography",table,TimeSeries,EDDTableFromErddap,"E2M3A SAMI timeSeries, NRT in situ Observations",18.0824167,18.0824167,,41.5277,41.5277,,5.0,-1185.0,2021-01-01T00:00:00Z,,,,,https://erddap.emso.eu/erddap/tabledap/E2M3A_SAMI,https://erddap.emso.eu/erddap/tabledap/E2M3A_SAMI.graph,,,,,https://erddap.emso.eu/erddap/metadata/fgdc/xml/E2M3A_SAMI_fgdc.xml,https://erddap.emso.eu/erddap/metadata/iso19115/xml/E2M3A_SAMI_iso19115.xml,https://erddap.emso.eu/erddap/info/E2M3A_SAMI/index,(source database),https://nodc.ogs.it,https://erddap.emso.eu/erddap/rss/E2M3A_SAMI.rss,https://erddap.emso.eu/erddap/subscriptions/add.html?datasetID=E2M3A_SAMI&showErrors=false&email=,,,"E2M3A SAMI timeSeries, NRT in situ Observations"
E2M3A_SBE16PLS,public,"National Institute of Oceanography and Applied Geophysics - OGS, Division of Oceanography",table,TimeSeries,EDDTableFromErddap,"E2M3A SBE16PLS timeSeries, NRT in situ Observations",18.0824167,18.0824167,,41.5277,41.5277,,5.0,-1185.0,2021-01-01T00:00:00Z,,,,,https://erddap.emso.eu/erddap/tabledap/E2M3A_SBE16PLS,https://erddap.emso.eu/erddap/tabledap/E2M3A_SBE16PLS.graph,,,,,https://erddap.emso.eu/erddap/metadata/fgdc/xml/E2M3A_SBE16PLS_fgdc.xml,https://erddap.emso.eu/erddap/metadata/iso19115/xml/E2M3A_SBE16PLS_iso19115.xml,https://erddap.emso.eu/erddap/info/E2M3A_SBE16PLS/index,(source database),https://nodc.ogs.it,https://erddap.emso.eu/erddap/rss/E2M3A_SBE16PLS.rss,https://erddap.emso.eu/erddap/subscriptions/add.html?datasetID=E2M3A_SBE16PLS&showErrors=false&email=,,,"E2M3A SBE16PLS timeSeries, NRT in situ Observations"
