datasetID,variables
EMSO_OBSEA_CTD_30min,time
EMSO_OBSEA_CTD_30min,latitude
EMSO_OBSEA_CTD_30min,longitude
EMSO_OBSEA_CTD_30min,depth
EMSO_OBSEA_CTD_30min,sensor_id
EMSO_OBSEA_CTD_30min,PSAL
EMSO_OBSEA_CTD_30min,PRES
EMSO_OBSEA_CTD_30min,SVEL
EMSO_OBSEA_CTD_30min,CNDC
EMSO_OBSEA_CTD_30min,TEMP
EMSO_OBSEA_CTD_30min,PSAL_QC
EMSO_OBSEA_CTD_30min,PRES_QC
EMSO_OBSEA_CTD_30min,SVEL_QC
EMSO_OBSEA_CTD_30min,CNDC_QC
EMSO_OBSEA_CTD_30min,TEMP_QC
EMSO_OBSEA_CTD_30min,latitude_QC
EMSO_OBSEA_CTD_30min,longitude_QC
EMSO_OBSEA_CTD_30min,depth_QC
EMSO_OBSEA_Besos_Buoy_Airmar_200WX_30min,time
EMSO_OBSEA_Besos_Buoy_Airmar_200WX_30min,latitude
EMSO_OBSEA_Besos_Buoy_Airmar_200WX_30min,longitude
EMSO_OBSEA_Besos_Buoy_Airmar_200WX_30min,depth
EMSO_OBSEA_Besos_Buoy_Airmar_200WX_30min,CAPH
EMSO_OBSEA_Besos_Buoy_Airmar_200WX_30min,AIRT
EMSO_OBSEA_Besos_Buoy_Airmar_200WX_30min,WDIR
EMSO_OBSEA_Besos_Buoy_Airmar_200WX_30min,WSPD
EMSO_OBSEA_Besos_Buoy_Airmar_200WX_30min,CAPH_QC
EMSO_OBSEA_Besos_Buoy_Airmar_200WX_30min,AIRT_QC
EMSO_OBSEA_Besos_Buoy_Airmar_200WX_30min,WDIR_QC
EMSO_OBSEA_Besos_Buoy_Airmar_200WX_30min,WSPD_QC
EMSO_OBSEA_Besos_Buoy_Airmar_200WX_30min,latitude_QC
EMSO_OBSEA_Besos_Buoy_Airmar_200WX_30min,longitude_QC
EMSO_OBSEA_Besos_Buoy_Airmar_200WX_30min,depth_QC
EMSO_OBSEA_Besos_Buoy_Airmar_200WX_full,time
EMSO_OBSEA_Besos_Buoy_Airmar_200WX_full,latitude
EMSO_OBSEA_Besos_Buoy_Airmar_200WX_full,longitude
EMSO_OBSEA_Besos_Buoy_Airmar_200WX_full,depth
EMSO_OBSEA_Besos_Buoy_Airmar_200WX_full,CAPH
EMSO_OBSEA_Besos_Buoy_Airmar_200WX_full,AIRT
EMSO_OBSEA_Besos_Buoy_Airmar_200WX_full,WDIR
EMSO_OBSEA_Besos_Buoy_Airmar_200WX_full,WSPD
EMSO_OBSEA_Besos_Buoy_Airmar_200WX_full,CAPH_QC
EMSO_OBSEA_Besos_Buoy_Airmar_200WX_full,AIRT_QC
EMSO_OBSEA_Besos_Buoy_Airmar_200WX_full,WDIR_QC
EMSO_OBSEA_Besos_Buoy_Airmar_200WX_full,WSPD_QC
EMSO_OBSEA_Besos_Buoy_Airmar_200WX_full,latitude_QC
EMSO_OBSEA_Besos_Buoy_Airmar_200WX_full,longitude_QC
EMSO_OBSEA_Besos_Buoy_Airmar_200WX_full,depth_QC
E2M3A_METEO,time
E2M3A_METEO,latitude
E2M3A_METEO,longitude
E2M3A_METEO,depth
E2M3A_METEO,rowSize
E2M3A_METEO,WDIR
E2M3A_METEO,WDIR_QC
E2M3A_METEO,WSPD
E2M3A_METEO,WSPD_QC
E2M3A_METEO,DRYT
E2M3A_METEO,DRYT_QC
E2M3A_METEO,ATMS
E2M3A_METEO,ATMS_QC
E2M3A_METEO,RELH
E2M3A_METEO,RELH_QC
E2M3A_METEO,HEAD
E2M3A_METEO,HEAD_QC
E2M3A_METEO,EWSB
E2M3A_METEO,EWSB_QC
E2M3A_METEO,GSPD
E2M3A_METEO,GSPD_QC
E2M3A_METEO,GDIR
E2M3A_METEO,GDIR_QC
E2M3A_MRDT,time
E2M3A_MRDT,latitude
E2M3A_MRDT,longitude
E2M3A_MRDT,depth
E2M3A_MRDT,rowSize
E2M3A_MRDT,CSLR
E2M3A_MRDT,CSLR_QC
E2M3A_MRDT,TMES_1
E2M3A_MRDT,TMES_1_QC
E2M3A_MRDT,TMES_2
E2M3A_MRDT,TMES_2_QC
E2M3A_MRDT,LWRD
E2M3A_MRDT,LWRD_QC
E2M3A_PCO2PROA,time
E2M3A_PCO2PROA,latitude
E2M3A_PCO2PROA,longitude
E2M3A_PCO2PROA,depth
E2M3A_PCO2PROA,rowSize
E2M3A_PCO2PROA,PCO2
E2M3A_PCO2PROA,PCO2_QC
E2M3A_PCO2PROA,TMES
E2M3A_PCO2PROA,TMES_QC
E2M3A_PCO2PROW,time
E2M3A_PCO2PROW,latitude
E2M3A_PCO2PROW,longitude
E2M3A_PCO2PROW,depth
E2M3A_PCO2PROW,rowSize
E2M3A_PCO2PROW,PCO2
E2M3A_PCO2PROW,PCO2_QC
E2M3A_PCO2PROW,TMES
E2M3A_PCO2PROW,TMES_QC
E2M3A_SAMI,time
E2M3A_SAMI,latitude
E2M3A_SAMI,longitude
E2M3A_SAMI,depth
E2M3A_SAMI,rowSize
E2M3A_SAMI,PSAL
E2M3A_SAMI,PSAL_QC
E2M3A_SAMI,TEMP
E2M3A_SAMI,TEMP_QC
E2M3A_SAMI,PHPH
E2M3A_SAMI,PHPH_QC
E2M3A_SBE16PLS,time
E2M3A_SBE16PLS,latitude
E2M3A_SBE16PLS,longitude
E2M3A_SBE16PLS,depth
E2M3A_SBE16PLS,rowSize
E2M3A_SBE16PLS,TEMP
E2M3A_SBE16PLS,TEMP_QC
E2M3A_SBE16PLS,CNDC
E2M3A_SBE16PLS,CNDC_QC
E2M3A_SBE16PLS,PRES
E2M3A_SBE16PLS,PRES_QC
E2M3A_SBE16PLS,DOX1
E2M3A_SBE16PLS,DOX1_QC
E2M3A_SBE16PLS,PSAL
E2M3A_SBE16PLS,PSAL_QC
